Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304520,49,10,0,23.996162074903932,0.003092552208284096,0.0007453728877831831,0.0,304579
2,304579,304477,72,30,0,23.9924124391783,0.005314576001568367,0.0022729848201314545,0.0,304579
3,304579,304420,100,55,4,23.987769599114994,0.007966621216740669,0.003802110529007828,0.0004616691392572617,304579
4,304579,304354,133,85,7,23.98276284376662,0.010236057277657938,0.0063085621679826,0.0006925367877420256,304579
5,304579,304284,165,118,12,23.977078493654215,0.01233418863659431,0.009394239895796125,0.0011930778133935546,304579
6,304579,304216,194,148,21,23.971281724950998,0.014768468099339476,0.01236531785513367,0.0015844890945281237,304579
7,304579,304154,205,187,33,23.966446911627514,0.016529321105724675,0.01488278537438993,0.0021409818923706116,304579
8,304579,304073,236,228,42,23.959660563108343,0.02008413941348181,0.01772060233985128,0.002534695138324001,304579
9,304579,304011,242,273,53,23.956063738494283,0.018972679236991436,0.021800962324808805,0.003162619943917623,304579
10,304579,303942,253,313,71,23.95114410589462,0.01872445419794147,0.025579903354498234,0.004551536552938076,304579
11,304579,303884,251,351,93,23.944497241294812,0.0194699121470088,0.029430068103976626,0.006602778454202507,304579
12,304579,303799,283,384,113,23.936227299592208,0.023169016690267056,0.032243770940468916,0.008359912777057329,304579
13,304579,303729,280,436,134,23.93113209706905,0.021792817644777154,0.03601795870538653,0.01105712658078592,304579
14,304579,303657,284,471,167,23.925956678696974,0.02189033432301133,0.03826944317747863,0.013883543802536345,304579
15,304579,303568,317,499,195,23.918887239448964,0.023999230797645044,0.040156121547235635,0.01695740820615706,304579
16,304579,303474,350,527,228,23.909002187597252,0.028310644217491018,0.04382137230577825,0.01886579587947688,304579
17,304579,303378,377,554,270,23.900693189343418,0.03011510615971956,0.046227995772796175,0.022963708724067753,304579
18,304579,303292,382,597,308,23.892039399904768,0.03027869181698633,0.04834548123232749,0.029336427045917907,304579
19,304579,303189,402,641,347,23.88372077717954,0.031305058217292084,0.05240268824374923,0.03257147635941625,304579
20,304579,303087,412,692,388,23.875406938768787,0.03132659846216814,0.057056495012389304,0.03620996775665403,304579
21,304579,302991,434,716,438,23.864935990321563,0.035302816153490624,0.059354836233207066,0.0404063572917408,304579
22,304579,302893,451,743,492,23.8572765188813,0.03656341915966579,0.060960351755759354,0.04519971020327418,304579
23,304579,302796,452,787,544,23.847797950182414,0.037873755049652735,0.06347261301149072,0.050855681756443186,304579
24,304579,302689,479,821,590,23.843264549114195,0.03743296600899256,0.06613318337564467,0.05316930150116683,304579
25,304579,302583,490,858,648,23.832928336449015,0.03980078493879053,0.06919118398462328,0.05807969462757202,304579
26,304579,302454,506,910,709,23.823595723705292,0.04138893490590482,0.07173117648499454,0.06328416490380878,304579
27,304579,302332,536,946,765,23.81721399434816,0.043412389817265265,0.07547024937360611,0.06390336646096813,304579
28,304579,302216,538,989,836,23.80583544304494,0.04427601129253598,0.07894420257308886,0.07094434308943537,304579
29,304579,302066,587,1028,898,23.795384634048634,0.046462086202128085,0.08096138460080787,0.07719189514842799,304579
30,304579,302014,537,1072,956,23.791678745655947,0.04316634878611836,0.08469221547079218,0.08046269008714418,304579
31,304579,301951,503,1094,1031,23.78462594327948,0.040539420061669,0.08824063468495087,0.0865940019738997,304579
32,304579,301883,471,1129,1096,23.779694288741027,0.03692366551957442,0.09132228523989128,0.09205976049950743,304579
33,304579,301836,430,1135,1178,23.774887971476165,0.033023167843919475,0.09173605712186378,0.10035280355805148,304579
34,304579,301781,394,1154,1250,23.766377260259805,0.032230344958926564,0.09399854310493978,0.10739385167632717,304579
35,304579,301714,405,1129,1331,23.762758976964022,0.03195524602827346,0.0919031478752734,0.11338262913243094,304579
36,304579,301663,392,1123,1401,23.758307708904987,0.030888400146951694,0.09155659873106989,0.11924729221699372,304579
37,304579,301600,389,1122,1468,23.7538537477768,0.03184432518874997,0.08973785263992153,0.12456407439452577,304579
38,304579,301549,360,1114,1556,23.750294879463915,0.029695154373728022,0.0909316895441356,0.12907827661822188,304579
39,304579,301501,350,1089,1639,23.74596053607225,0.028462812082849905,0.09085441940927437,0.13472223243562714,304579
40,304579,301451,341,1087,1700,23.7405765905539,0.02602425326487081,0.09260475020024647,0.1407944059809815,304579
41,304579,301384,335,1098,1762,23.731594640082353,0.025463124940223552,0.09527211656988299,0.14767011840754068,304579
42,304579,301318,328,1100,1833,23.725011894003742,0.024734736627348028,0.0956793063418822,0.15457406302702714,304579
43,304579,301259,325,1090,1905,23.71894223975554,0.025644963253557963,0.09330918122151288,0.16210361576939233,304579
44,304579,301211,314,1076,1978,23.712338854825077,0.025175523554964253,0.09215069414942617,0.1703349274705337,304579
45,304579,301163,294,1069,2053,23.709334588675528,0.02451939516985743,0.09140832005848255,0.17473769609613102,304579
46,304579,301107,306,1051,2115,23.70744440121921,0.024257679429757303,0.08993562720574433,0.1783622921452904,304579
47,304579,301041,331,1024,2183,23.70486651384887,0.02512978387551587,0.08666492517496366,0.1833387771006508,304579
48,304579,300995,321,1024,2239,23.702364048075832,0.024364695199821314,0.08630963997215123,0.18696161675219336,304579
49,304579,300953,317,1019,2290,23.69970432096844,0.023944426336226732,0.08634710298767564,0.1900041497076584,304579
50,304579,300895,318,1037,2329,23.695733667290696,0.024759626612965737,0.08803844453013475,0.19146826156620178,304579
51,304579,300839,330,1019,2391,23.689310154406694,0.026138410728245742,0.08589878842282309,0.1986526464422362,304579
52,304579,300797,315,1025,2442,23.68381326061637,0.024806767679473242,0.08676198206693966,0.2046179896372198,304579
53,304579,300744,318,1010,2507,23.679431922697308,0.025232413414827785,0.08856525018110391,0.20677041370676003,304579
54,304579,300699,310,1010,2560,23.674577510599768,0.024716009606114933,0.08856412391245051,0.21214235588166627,304579
55,304579,300643,310,1017,2609,23.666393707295743,0.025592970983845286,0.0895542579970397,0.21845906372337337,304579
56,304579,300585,308,1016,2670,23.65949899349638,0.025675086395729615,0.08678122344045236,0.2280446966674381,304579
57,304579,300544,294,1032,2709,23.656622946150105,0.02445044496767915,0.08812806732610595,0.2307985415561108,304579
58,304579,300494,288,1028,2769,23.651195694082297,0.024134113513175823,0.08642373020970032,0.23824646219482806,304579
59,304579,300440,303,1008,2828,23.642804340635237,0.02576584823554779,0.08475009971656752,0.2466797114126478,304579
60,304579,300392,282,1020,2885,23.63836133021575,0.022351803386593143,0.08610718030025205,0.2531796860974027,304579
61,304579,300337,277,1021,2944,23.63469158141864,0.023238914133394947,0.08678968149740476,0.25527982295056184,304579
62,304579,300275,292,1023,2989,23.628191433715234,0.022620172686938143,0.08973676707643938,0.25945162652138826,304579
63,304579,300223,284,1022,3050,23.623897507297535,0.02176652978623814,0.08982350760349855,0.2645124553127288,304579
64,304579,300168,272,1020,3119,23.623030323076446,0.02069849721975147,0.08797819843452406,0.2682929812692777,304579
65,304579,300121,277,1001,3180,23.620656421063696,0.021366195596639232,0.08626502948892059,0.27171235385074477,304579
66,304579,300064,273,997,3245,23.616668715960984,0.020371493502261542,0.08468218464052175,0.278277605896235,304579
67,304579,300012,277,1000,3290,23.611780942285325,0.020931306060183112,0.08546766452226083,0.28182008713223,304579
68,304579,299962,294,992,3331,23.610669657189693,0.02179007209064884,0.08308148084347043,0.28445878987618844,304579
69,304579,299907,291,984,3397,23.607176145240906,0.020815566334806326,0.08347594449735228,0.28853234392693505,304579
70,304579,299862,289,975,3453,23.604901031133156,0.021009200872280084,0.083941936970931,0.2901478310236309,304579
71,304579,299830,275,976,3498,23.599300103658834,0.02077898426224479,0.08351301803342179,0.2964078940454992,304579
72,304579,299769,292,967,3551,23.59729425060995,0.021926083797355982,0.081980750458109,0.29879891513458556,304579
73,304579,299710,290,973,3606,23.59072971130485,0.021057032628522748,0.08467559975572576,0.30353765631090185,304579
74,304579,299664,307,959,3649,23.587935726901907,0.023765314033583448,0.08261274105657644,0.3056862180079334,304579
75,304579,299618,310,953,3698,23.584325190421385,0.02359965724976779,0.07988186295060377,0.31219328937824425,304579
76,304579,299567,320,935,3757,23.580024041107336,0.024853411947780193,0.07810596896171457,0.3170165779831709,304579
