Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304520.0,48,11,0.0,23.99531553740064,0.0037047695850924143,0.0009796930142680453,0.0,304579.0
2,304579,304480.0,70,29,0.0,23.992036686736387,0.0054459208882146025,0.0025173923753970427,0.0,304579.0
3,304579,304421.0,98,59,1.0,23.98791779935738,0.006897655834836489,0.005119142584108618,6.540222367560497e-05,304579.0
4,304579,304350.0,135,88,6.0,23.981214762504887,0.010097465572950944,0.008269012578474455,0.0004187593436870598,304579.0
5,304579,304295.0,151,117,16.0,23.976960830617323,0.012435433670200476,0.009332701312767836,0.0012710343997070573,304579.0
6,304579,304243.0,174,139,23.0,23.971570659610002,0.014818592238459749,0.01145199035331141,0.0021587577982281328,304579.0
7,304579,304169.0,202,175,33.0,23.96621586922413,0.016281427770461633,0.014507103482704866,0.0029955995227038913,304579.0
8,304579,304087.0,236,214,42.0,23.959154279615845,0.019287432745077195,0.017316023842304146,0.004242263796771944,304579.0
9,304579,304021.0,254,249,55.0,23.954197046757848,0.020373802171106875,0.020222108345533514,0.005207042725512744,304579.0
10,304579,303939.0,272,296,72.0,23.948129285907072,0.021628091666613544,0.024459245980950884,0.005783376445363197,304579.0
11,304579,303865.0,296,321,97.0,23.941750331295978,0.02313584454710316,0.026926335749225212,0.008187488407695422,304579.0
12,304579,303803.0,288,369,119.0,23.93620096225422,0.02325125278569091,0.029875069787441758,0.010672715172649498,304579.0
13,304579,303729.0,297,412,141.0,23.93103824043194,0.02373770565690269,0.033397391617191574,0.011826662293966722,304579.0
14,304579,303642.0,320,443,174.0,23.923710513626908,0.02689543872443922,0.03431397145354276,0.01508007619511216,304579.0
15,304579,303554.0,342,476,207.0,23.919456662574888,0.02757470577093695,0.0367393595049948,0.016229272149180254,304579.0
16,304579,303481.0,342,525,231.0,23.91363718219738,0.02717823185539614,0.04249283594777553,0.016691749999447825,304579.0
17,304579,303381.0,371,565,262.0,23.904287412705994,0.029169448106209382,0.04738344305322097,0.019159696134577374,304579.0
18,304579,303283.0,382,620,294.0,23.898501995259174,0.027853009852917693,0.05157447016963964,0.02207052471826886,304579.0
