Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304534,36,9,0,23.996975661289127,0.0024410447587959482,0.0005832939520771863,0.0,304579
2,304579,304465,79,33,2,23.99114289703034,0.005837973125268297,0.0026789937899711048,0.0003401360544217687,304579
3,304579,304412,100,64,3,23.986256077621086,0.008253185154006533,0.005016150507424422,0.00047458671748350613,304579
4,304579,304359,125,88,7,23.98241693671612,0.01050188282087226,0.006385000604789688,0.0006961798582195934,304579
5,304579,304314,141,113,11,23.977917744282028,0.012279310066849484,0.008707086638194597,0.0010958590129277383,304579
6,304579,304252,162,144,21,23.972520277600978,0.013881846502933025,0.011973671603979327,0.0016242042921089737,304579
7,304579,304190,179,180,30,23.967842382976073,0.014915706983649095,0.015248225347147192,0.001993684693130971,304579
8,304579,304120,193,223,43,23.963400767908826,0.015800621136779054,0.017581986955758452,0.00321662399863736,304579
9,304579,304039,236,249,55,23.9551584746023,0.02000352340417004,0.02083221578733272,0.004005786206197302,304579
10,304579,303966,255,288,70,23.948817486612327,0.02158707458444076,0.024259930931063465,0.005335507872169079,304579
11,304579,303885,276,333,85,23.940665068426615,0.022061317133990406,0.030341679126579816,0.006931935312813543,304579
12,304579,303797,285,392,105,23.931812488262608,0.022762948274149538,0.03669875580457055,0.00872580765867101,304579
13,304579,303719,303,428,129,23.924690360244263,0.024718230125489796,0.03895926507270703,0.01163214455754227,304579
14,304579,303631,323,469,156,23.917116460905163,0.027369515966486853,0.0415732204320872,0.013940802696263032,304579
15,304579,303541,353,489,196,23.9090870852313,0.029953864566678975,0.04399633053426316,0.016962719667759026,304579
16,304579,303455,361,526,237,23.902050172223465,0.031037045113862956,0.04576439573739344,0.02114838692527918,304579
17,304579,303364,372,565,278,23.893548927901822,0.030759017723622818,0.0511064098786374,0.024585644495919576,304579
18,304579,303265,380,618,316,23.8856172242699,0.030183184114535737,0.055360408840921776,0.028839182774643406,304579
19,304579,303165,400,653,361,23.87638289360027,0.032721189758684266,0.05856038575893231,0.032335530882114355,304579
20,304579,303051,429,704,395,23.864106941033313,0.03687394456312328,0.06329030555567355,0.035728808847889836,304579
21,304579,302931,474,728,446,23.852453720590375,0.04153850955877224,0.06662707544320708,0.03938069440764613,304579
22,304579,302827,494,768,490,23.843168826484387,0.042540274736342525,0.07082718680338619,0.04346371197588342,304579
23,304579,302711,502,826,540,23.83658130854515,0.041987123453962286,0.0736777054773448,0.047753862523543446,304579
24,304579,302619,501,857,602,23.828941277322354,0.03933834598233447,0.07688585720570239,0.05483451948960881,304579
25,304579,302475,553,891,660,23.815671873132715,0.04590806918368853,0.07886638151945548,0.05955367616413967,304579
26,304579,302372,544,939,724,23.808175155841823,0.044226325083062186,0.08289872472551844,0.06469979434959504,304579
27,304579,302264,546,974,795,23.801178579891896,0.04479899104019505,0.08368005789223276,0.07034237117567425,304579
28,304579,302144,573,997,865,23.790332888145464,0.04770281000201475,0.08530994318246635,0.07665435867005452,304579
29,304579,302013,583,1060,923,23.77819054053449,0.04810475403376646,0.09127363108637619,0.0824310743453701,304579
30,304579,301884,609,1080,1006,23.768943411475924,0.049706705637799414,0.09092247967420644,0.09042740321207157,304579
31,304579,301757,617,1118,1087,23.7581142156495,0.04916036330262317,0.09460965001525991,0.09811577103261886,304579
32,304579,301628,635,1144,1172,23.747919524939153,0.05093956646526249,0.09530778308362797,0.10583312551195669,304579
33,304579,301481,650,1210,1238,23.736468918144258,0.05257018390103468,0.0987561078715994,0.11220479008310856,304579
34,304579,301338,665,1264,1312,23.723973558200793,0.051906615698890685,0.10637458651320529,0.11774523958711143,304579
35,304579,301200,691,1290,1398,23.714934276927067,0.0537289204500464,0.10641864626953222,0.12491815635335424,304579
36,304579,301052,700,1348,1479,23.70182466886313,0.05428306986438139,0.11103271479256746,0.1328595464799221,304579
37,304579,300908,720,1385,1566,23.690055390532404,0.056128121609573596,0.11474234358095795,0.13907414427706496,304579
38,304579,300776,706,1431,1666,23.67715601300725,0.05677346835964184,0.11768488988256617,0.1483856287505435,304579
39,304579,300630,703,1478,1768,23.664468314075886,0.058492641239888316,0.12117304846479476,0.15586599621942912,304579
40,304579,300494,723,1495,1867,23.651415120254974,0.05846221835242703,0.12547552812912469,0.1646471332634736,304579
41,304579,300333,753,1533,1960,23.63750028164578,0.0611414041013171,0.12887477020372956,0.17248354404917146,304579
42,304579,300180,774,1572,2053,23.626083536298736,0.06276885867063023,0.13289823229825568,0.17824937273237892,304579
43,304579,300040,750,1609,2180,23.611312808648886,0.06162129137910929,0.13626481965767,0.19080108031433288,304579
44,304579,299873,806,1612,2288,23.59655493488875,0.065917671837691,0.13925527742320712,0.19827211585034993,304579
45,304579,299738,794,1676,2371,23.585394217933647,0.06404034082401554,0.14411124086585636,0.2064542003764802,304579
46,304579,299581,795,1735,2468,23.569233247101952,0.06697669215303258,0.14900534820587455,0.21478471253914133,304579
47,304579,299432,795,1776,2576,23.55429166610021,0.06813600804993508,0.15329350424458665,0.22427882160526763,304579
48,304579,299277,819,1808,2675,23.543640261494986,0.06877713954227438,0.15687283903910448,0.23070975992363613,304579
49,304579,299103,837,1840,2799,23.530830649106573,0.06970026198645052,0.1573807966810446,0.24208829222593206,304579
50,304579,298943,841,1862,2933,23.516391718639937,0.07077765189011775,0.161477133155554,0.25135349631439013,304579
51,304579,298782,856,1898,3043,23.504385478314102,0.07026662096767022,0.16366778757729586,0.26168011314093065,304579
52,304579,298629,842,1947,3161,23.491345459388913,0.06958828024078247,0.16559153784585337,0.27347472252445004,304579
53,304579,298452,910,1947,3270,23.47504233800535,0.07601471042621726,0.16420545433943565,0.2847374972289975,304579
54,304579,298290,907,1995,3387,23.458396822840356,0.07523129934251256,0.17029086920087452,0.29608100861625486,304579
55,304579,298121,930,2011,3517,23.444776490262907,0.07636787276448385,0.17389145825632732,0.30496417871628323,304579
56,304579,297963,910,2053,3653,23.429831681302243,0.07693442432392804,0.17845184616860546,0.3147820482052247,304579
57,304579,297795,906,2078,3800,23.41598562583352,0.07529971401847892,0.18215871898818894,0.32655594115981285,304579
58,304579,297634,927,2112,3906,23.400340506836493,0.0768564076388413,0.1855015454252381,0.33730154009942664,304579
59,304579,297457,938,2146,4038,23.38785058035924,0.078590493684707,0.18591804880072418,0.3476408771553308,304579
60,304579,297272,972,2184,4151,23.371626901909522,0.0823134848855121,0.18763498206075221,0.3584246311442148,304579
61,304579,297106,971,2218,4284,23.358566526783356,0.07983175083894141,0.19151857553643672,0.3700831468412665,304579
62,304579,296937,965,2223,4454,23.345808098100157,0.07917496995602155,0.18910478844046338,0.38591214350335806,304579
63,304579,296774,968,2252,4585,23.32932540988997,0.07918934212886951,0.194122092483923,0.39736315549723616,304579
64,304579,296603,971,2272,4733,23.316052165965385,0.07757188508478127,0.19679348938434063,0.4095824595654935,304579
65,304579,296413,986,2311,4869,23.298104209734856,0.08155476147698286,0.19871349530682966,0.42162753348133064,304579
66,304579,296226,1007,2317,5029,23.282396085731794,0.08502502963519483,0.19800601359843353,0.43457287103457837,304579
67,304579,296036,1048,2339,5156,23.2659194005879,0.08841563662522252,0.2003661275935662,0.44529883519331087,304579
68,304579,295830,1099,2348,5302,23.247652915103128,0.09228172770182584,0.20246634809750283,0.45759900909754353,304579
69,304579,295643,1098,2404,5434,23.22966651675991,0.09176776348396284,0.2101611311882579,0.4684045885678709,304579
70,304579,295474,1079,2457,5569,23.215623278065152,0.09036832794108504,0.21394176733566272,0.48006662665809874,304579
71,304579,295300,1051,2501,5727,23.199036204744928,0.0875004042097591,0.21696597863189945,0.49649741241341483,304579
72,304579,295120,1055,2520,5884,23.183458695653595,0.08704815647240449,0.21782034879291132,0.5116727990810875,304579
73,304579,294898,1112,2545,6024,23.165331399803062,0.09136230320624858,0.21723817757745748,0.526068119413233,304579
74,304579,294727,1093,2605,6154,23.15415047303139,0.08768249123979444,0.22411266238844157,0.5340543733403745,304579
75,304579,294545,1120,2603,6311,23.137103228198786,0.09196516049781926,0.22175478308083915,0.5491768282225555,304579
76,304579,294353,1120,2634,6472,23.123960748599426,0.09017534146088478,0.2208787537489578,0.5649851561907323,304579
77,304579,294173,1109,2664,6633,23.10801699627553,0.08751435143070581,0.226115591832871,0.5783530604608934,304579
78,304579,294001,1079,2714,6785,23.0926922403965,0.08660288324246747,0.22875002558217464,0.5919548507788595,304579
79,304579,293791,1118,2714,6956,23.07201784117531,0.09020972337140432,0.22998450061511205,0.6077879348381733,304579
80,304579,293612,1124,2734,7109,23.05041628641602,0.09241303758537865,0.2354816669269995,0.6216890090716012,304579
81,304579,293418,1157,2762,7242,23.03296028962726,0.09554984551114651,0.2379657706278689,0.6335240942337265,304579
82,304579,293234,1155,2792,7398,23.018723109240174,0.09433030676070396,0.23919633648511518,0.6477502475140068,304579
83,304579,293034,1181,2828,7536,23.002405816729024,0.09890962502123132,0.24283523098253607,0.6558493272672089,304579
84,304579,292806,1230,2828,7715,22.984608734539734,0.10434829581097342,0.243082733587267,0.6679602360620275,304579
85,304579,292598,1230,2887,7864,22.971016893050898,0.10258559605875621,0.24614595813974655,0.6802515527506008,304579
86,304579,292386,1236,2900,8057,22.95184456347979,0.10481677538847857,0.24708705791305124,0.6962516032186813,304579
