Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494206,54,12,0,24.998671655343045,0.0011885698770255585,0.00013977477993063836,0.0,494272
2,494272,494155,82,33,2,24.997711876975508,0.0017727200121939813,0.0004941463164386361,2.1256695859195648e-05,494272
3,494272,494104,99,66,3,24.99687853176314,0.001386745331790846,0.001696720558891922,3.8002346176525725e-05,494272
4,494272,494045,129,90,8,24.99471636501327,0.0025418229986041343,0.002235946988882473,0.0005058649992415697,494272
5,494272,493984,155,124,9,24.989902509664063,0.002936469695815352,0.006653272559248432,0.0005077480808722703,494272
6,494272,493925,161,164,22,24.98578130869401,0.005174028035721109,0.008398201278834418,0.0006464619914377922,494272
7,494272,493862,185,187,38,24.98025186619229,0.0055366014845946105,0.009209704916307716,0.005001827406808745,494272
8,494272,493799,206,214,53,24.976844112660565,0.007022917413021286,0.01096650521305246,0.0051664647133600845,494272
9,494272,493730,219,255,68,24.976209916854287,0.007507099022773721,0.010460800722474578,0.0058221834004637835,494272
10,494272,493674,224,288,86,24.972676626274914,0.008359513954694135,0.012802835630543758,0.006161024139848671,494272
11,494272,493599,239,325,109,24.9596795087837,0.01067819010055596,0.022346985156590154,0.007295315959152083,494272
12,494272,493529,255,358,130,24.951654826013495,0.01403903779251464,0.026225177343971354,0.008080958850020194,494272
13,494272,493458,263,397,154,24.942697688586225,0.0073728395634499394,0.037493266255503324,0.012436205594822367,494272
14,494272,493386,267,435,184,24.939077123863974,0.007129960412851869,0.0437974247585819,0.009995490964590672,494272
15,494272,493303,278,471,220,24.93636131572005,0.01442217125451639,0.038678617229630764,0.010537895795804697,494272
16,494272,493206,299,514,253,24.943399468991824,0.009600477206305994,0.034872103420723194,0.012127950381147425,494272
17,494272,493132,302,549,289,24.936049656639735,0.007236568687100421,0.03819750826199913,0.018516266411163808,494272
18,494272,493063,297,580,332,24.94673113347389,0.0062851284936047925,0.02801741328209507,0.018966324750412183,494272
19,494272,492980,300,625,367,24.946780233065926,0.0077217173347213135,0.027545927405133924,0.017952122194218465,494272
20,494272,492915,297,647,413,24.934326043806806,0.013447733846748817,0.032180703134112386,0.02004551921233193,494272
21,494272,492826,321,673,452,24.93058784951612,0.008740408487389923,0.03498118369437894,0.02569055830211129,494272
22,494272,492738,320,702,512,24.9331351777887,0.008826251720739819,0.032271917743301806,0.025766652747258485,494272
23,494272,492662,330,715,565,24.930719586226555,0.009613441924010575,0.030957123902099076,0.028709847947335044,494272
24,494272,492565,335,756,616,24.923687525844223,0.010527652623538747,0.03241090372457139,0.03337391780766598,494272
25,494272,492471,363,773,665,24.922992821483607,0.011794918602805064,0.03399775536832911,0.031214504545258336,494272
26,494272,492394,363,796,719,24.918295486126762,0.016240886932438883,0.030059676730625318,0.03540395021017337,494272
27,494272,492300,364,833,775,24.918819123453513,0.014751161742626246,0.030799510798916373,0.03563020400494459,494272
28,494272,492205,386,849,832,24.911940167906405,0.017516882654235386,0.03192141599251362,0.03862153344684513,494272
29,494272,492110,401,867,894,24.896489531034128,0.016252155130650436,0.03380119931015662,0.05345711452506614,494272
30,494272,492013,411,903,945,24.88997488393139,0.019539075784860565,0.03780899828226958,0.05267704200147864,494272
31,494272,491908,423,941,1000,24.87762154419975,0.018868521320066518,0.04082886898256466,0.06268106549761854,494272
32,494272,491818,419,956,1079,24.870320168142875,0.020684324240310914,0.047449079275529146,0.0615464283412863,494272
33,494272,491720,426,992,1134,24.856620679086753,0.026202305181089267,0.0526679041297104,0.06450911160244643,494272
34,494272,491624,445,998,1205,24.853139549993816,0.020055778467447584,0.055264769946825464,0.0715399015919098,494272
35,494272,491531,425,1039,1277,24.843023669769586,0.021137941396125612,0.0605345831677924,0.07530380566649446,494272
36,494272,491429,432,1061,1350,24.838670777963117,0.02116074119499975,0.06152046690272344,0.07864801393915986,494272
37,494272,491335,412,1118,1407,24.826368392604845,0.019893691759355157,0.0653376366211257,0.08840027901467422,494272
38,494272,491230,423,1143,1476,24.817461524857706,0.024853620911284978,0.06375732088216679,0.09392753334884135,494272
39,494272,491140,439,1133,1560,24.826602421021338,0.01849918875294207,0.05936634898348759,0.09553204124223244,494272
40,494272,491029,464,1118,1661,24.81479348611291,0.021799824390861568,0.06014628784362415,0.10326040165260142,494272
41,494272,490921,467,1130,1754,24.799347342235098,0.025214278349997607,0.064378227142353,0.11106015227255178,494272
42,494272,490831,472,1122,1847,24.797835072699534,0.029227589967660207,0.06097250579764699,0.11196483153515763,494272
43,494272,490732,472,1147,1921,24.79612701528,0.026397254250347685,0.07018140126181399,0.10729432920783902,494272
44,494272,490633,479,1171,1989,24.783564224885478,0.028897926228704227,0.07436762794680715,0.11317022093901259,494272
45,494272,490532,477,1204,2059,24.779701545432893,0.028894444298898408,0.07482094624127279,0.11658306402693547,494272
46,494272,490417,496,1215,2144,24.779636351709545,0.032144711550810785,0.06731103920241371,0.12090789753723097,494272
47,494272,490315,490,1236,2231,24.778202381617426,0.028363445382635518,0.07077290243503184,0.12266127056490564,494272
48,494272,490235,465,1254,2318,24.775486558542752,0.029955769632337023,0.07488158197916048,0.11967608984575166,494272
49,494272,490113,496,1269,2394,24.773154074159912,0.03296907372109504,0.0751597371223474,0.11871711499664532,494272
50,494272,490001,509,1281,2481,24.76122190055224,0.03824382158344212,0.07654899751407108,0.12398528035024635,494272
51,494272,489908,511,1283,2570,24.745151352157254,0.037170643030951106,0.0715397083908093,0.14613829642098558,494272
52,494272,489816,489,1319,2648,24.73904554063895,0.038762866549173894,0.06793778086566242,0.15425381194621424,494272
53,494272,489708,489,1314,2761,24.748907809966667,0.025446334281247058,0.07975377334683742,0.14589208240524734,494272
54,494272,489603,508,1318,2843,24.74001465050108,0.026002692775791845,0.08458541569700627,0.14939724102612026,494272
55,494272,489497,513,1334,2928,24.73842958449837,0.025755142671682527,0.08476170661518537,0.15105356621476176,494272
56,494272,489391,485,1361,3035,24.72971997293497,0.022554010595223245,0.09084029818451321,0.15688571828529566,494272
57,494272,489289,483,1369,3131,24.726172472108104,0.023110078560892904,0.09512943306573048,0.1555880162652744,494272
58,494272,489188,474,1388,3222,24.717556019400483,0.02235265248933164,0.09140554286092119,0.16868578524926403,494272
59,494272,489083,479,1398,3312,24.713689342580523,0.025416214235135848,0.08721423214236174,0.17368021104197884,494272
60,494272,488977,489,1388,3418,24.70876842057749,0.02360373469422502,0.08744630601525168,0.1801815387130345,494272
61,494272,488863,494,1405,3510,24.708366576640497,0.02000363027780696,0.09238653193014792,0.17924326115154904,494272
62,494272,488751,503,1420,3598,24.688255764968453,0.0230302478966447,0.09253777702703948,0.19617621010786435,494272
63,494272,488643,510,1423,3696,24.683114778178595,0.023826254432108087,0.07844135073362155,0.2146176166556749,494272
64,494272,488539,514,1445,3774,24.67603198361084,0.026287972423406546,0.07924077149548689,0.21843927247026687,494272
65,494272,488423,528,1447,3874,24.659474911712245,0.023263725936282852,0.07961333042643354,0.23764803192504022,494272
66,494272,488299,545,1468,3960,24.645950644460648,0.024716295497279803,0.08222652198156237,0.2471065380605085,494272
67,494272,488171,576,1457,4068,24.64742309105092,0.0351329312172585,0.07427360796324042,0.24317036976858042,494272
68,494272,488068,563,1478,4163,24.639389352415446,0.032621550832459045,0.08341613879709385,0.2445729579550019,494272
69,494272,487966,561,1476,4269,24.624872707359405,0.03391844429736917,0.09140701042700224,0.24980183791622496,494272
70,494272,487877,537,1484,4374,24.630876356121217,0.03483887060744864,0.0856154972973522,0.24866927597398178,494272
71,494272,487736,551,1507,4478,24.625907685707052,0.02851512658376524,0.08875241404724964,0.2568247736619325,494272
72,494272,487614,577,1490,4591,24.63056121717536,0.030400972011656337,0.08149862491035988,0.25753918590262587,494272
73,494272,487487,583,1511,4691,24.624615870188318,0.03234326899141423,0.08107445180344112,0.26196640901682683,494272
74,494272,487362,603,1532,4775,24.60558295692048,0.04033857933120212,0.08589398575456689,0.2681844779937508,494272
75,494272,487255,589,1533,4895,24.612537924108,0.03359511585625383,0.08647366849881816,0.2673932915369276,494272
76,494272,487147,595,1544,4986,24.623240293173257,0.036641294455891676,0.07740713443943271,0.2627112779314184,494272
77,494272,487022,580,1578,5092,24.61709903020179,0.030489911689731853,0.08693827675518714,0.2654727813532921,494272
78,494272,486921,559,1623,5169,24.602567165699874,0.032283486623653344,0.08926646942156684,0.27588287825490515,494272
79,494272,486824,552,1608,5288,24.59449791198012,0.035682286107288456,0.0774953797273208,0.2923244221852685,494272
80,494272,486706,564,1610,5392,24.58258559745615,0.03104588668394744,0.08858104378885584,0.2977874720710479,494272
81,494272,486588,564,1630,5490,24.571262954850198,0.0260319607055716,0.09037753205847056,0.31232755238575904,494272
82,494272,486466,553,1652,5601,24.556687408111845,0.02604505143601606,0.10809010522128432,0.3091774352308555,494272
83,494272,486356,565,1657,5694,24.578053975235168,0.025307645795716704,0.09552942303928394,0.3011089559298316,494272
84,494272,486221,596,1643,5812,24.54680262789231,0.0320232242333245,0.09841474413754589,0.32275940373682155,494272
85,494272,486106,597,1659,5910,24.549665684565227,0.03153461911091683,0.10092342605006381,0.3178762702737923,494272
86,494272,485986,603,1653,6030,24.543811937253327,0.031582324478385715,0.09256584417916033,0.3320398940891268,494272
87,494272,485892,568,1657,6155,24.53368824233034,0.028235072327486198,0.08539127335541805,0.35268541198675596,494272
88,494272,485796,543,1686,6247,24.547120983618427,0.026779737444221338,0.08339666743721565,0.3427026115001371,494272
89,494272,485680,557,1677,6358,24.53777343395223,0.025899738594689033,0.08368875630192771,0.35263807115115503,494272
90,494272,485569,543,1687,6473,24.518018260523505,0.02609646734094392,0.08872935821016786,0.367155913925382,494272
91,494272,485460,555,1683,6574,24.48998611312139,0.032875387056182204,0.08798751492673379,0.389150984895693,494272
