Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494216,44,12,0,24.999145045850423,0.0006784755553214729,0.0001764785942570319,0.0,494272
2,494272,494139,93,39,1,24.99465270511371,0.004643410422249787,0.0006871388137201109,1.6745650317330073e-05,494272
3,494272,494082,124,63,3,24.993779282564688,0.005130615553279453,0.001045982233470156,4.411964856425797e-05,494272
4,494272,494033,142,85,12,24.991768135421722,0.005824308747162553,0.0021794259379105617,0.00022812989320295613,494272
5,494272,493964,172,120,16,24.989273606302408,0.007459928766951398,0.0028295794346043053,0.00043688549603628093,494272
6,494272,493905,181,166,20,24.988955467884193,0.005397696565819403,0.005230461191390809,0.00041637435859868586,494272
7,494272,493850,192,199,31,24.986980983645417,0.004305851486001388,0.007998354186855884,0.0007148106817267878,494272
8,494272,493765,231,229,47,24.987772158444475,0.004554580599950176,0.006050051468199309,0.0016232094873771092,494272
9,494272,493695,242,268,67,24.981553232868265,0.006586543184846659,0.0073929192227351614,0.004467304724152289,494272
10,494272,493634,253,304,81,24.981907897372988,0.006439439608090375,0.007468958365242883,0.004183704653680283,494272
11,494272,493571,246,360,95,24.97895583424258,0.006970945730292825,0.009390799222296175,0.004682420804831294,494272
12,494272,493511,242,398,121,24.972245007988256,0.010816650238351825,0.010118060232344746,0.006820281541047881,494272
13,494272,493452,236,433,151,24.968620018600944,0.008991900509848858,0.012855777091755234,0.009532303797450788,494272
14,494272,493378,243,472,179,24.964819828342964,0.010643145733519706,0.01382460302352325,0.010712422899992816,494272
15,494272,493305,257,505,205,24.95857865587086,0.01116020622927268,0.018052021551685355,0.012209116348183717,494272
16,494272,493234,277,523,238,24.956363314411213,0.01034811928026822,0.018404834080435407,0.01488373222808523,494272
17,494272,493151,280,577,264,24.956138809403733,0.009023667528713428,0.021144972767724896,0.01369255029982869,494272
18,494272,493077,290,599,306,24.951124445140863,0.009583501361438663,0.02477271516621637,0.014519338331481266,494272
19,494272,492994,298,634,346,24.943261048181526,0.010077170554036405,0.03112192961943469,0.015539851645003521,494272
20,494272,492926,304,654,388,24.938462933026816,0.011870148745983416,0.030797013776778685,0.01886990445042037,494272
21,494272,492858,300,681,433,24.926862251993864,0.010287541652986502,0.041575781453719055,0.021274424899429108,494272
22,494272,492796,304,688,484,24.926087029094226,0.012566714886851042,0.03904512504403739,0.022301130974885165,494272
23,494272,492717,313,706,536,24.929716139618943,0.012786590816995392,0.03332706314411641,0.02417020641994504,494272
24,494272,492654,300,742,576,24.926917138998988,0.011288286177988414,0.03295751957642934,0.028837055246593538,494272
25,494272,492572,307,781,612,24.921508603805336,0.009504101190042191,0.032582739220010794,0.0364045557846126,494272
26,494272,492481,321,808,662,24.902506960538446,0.017161754554218367,0.034699096181262365,0.04563218872607154,494272
27,494272,492400,309,848,715,24.89458414738242,0.01934349926127329,0.041902601843196156,0.044169751513109035,494272
28,494272,492318,315,865,774,24.89608095835029,0.009978261563855713,0.05335615794562177,0.04058462214023216,494272
29,494272,492259,299,880,834,24.887485814765082,0.009912183699673498,0.05652979856880731,0.04607220296643637,494272
30,494272,492180,314,877,901,24.87947879541361,0.010814459889115549,0.056478665598839795,0.05322807909843237,494272
31,494272,492109,323,875,965,24.88189628394178,0.009685359036631959,0.055248268732101355,0.053170088289485745,494272
32,494272,492017,322,909,1024,24.88960694986584,0.009887501720858914,0.050571999082784355,0.04993354933051584,494272
33,494272,491935,346,891,1100,24.878534727434744,0.010557246629702732,0.055740441085371344,0.05516758485018298,494272
34,494272,491860,353,892,1167,24.874193020558803,0.011349923932224113,0.04511416767227208,0.06934288783670278,494272
35,494272,491773,352,913,1234,24.877002490762347,0.011886555572932197,0.042373497299631774,0.06873745636508895,494272
36,494272,491705,350,913,1304,24.887109907683794,0.011840406667962707,0.038724447647862946,0.06232523800038038,494272
37,494272,491638,343,933,1358,24.884040502752573,0.010149820868223894,0.039018285495300196,0.06679139088390239,494272
38,494272,491568,337,938,1429,24.882070930297267,0.01067788239955778,0.03926981057618733,0.06798137672698902,494272
39,494272,491505,325,938,1504,24.872141413505503,0.00916940293504371,0.039471044620349935,0.07921813893910241,494272
40,494272,491433,330,941,1568,24.855820385254546,0.012678662261540092,0.03956230436566226,0.09193864811825023,494272
41,494272,491358,331,949,1634,24.85283093568333,0.01656053370137698,0.04533879738360578,0.08526973323168897,494272
42,494272,491274,329,967,1702,24.863563404944323,0.007798280000343369,0.046238965094002694,0.0823993499613297,494272
43,494272,491198,335,964,1775,24.86328679488508,0.009988054352158979,0.04153665427969068,0.08518849648306998,494272
44,494272,491107,348,968,1849,24.860258360869743,0.009121789976427673,0.040730129878574634,0.08988971927525465,494272
45,494272,491037,352,963,1920,24.85082207146794,0.01182835962692126,0.04050498785473808,0.09684458105039899,494272
46,494272,490949,343,998,1982,24.85012555058006,0.013129349987902316,0.03554648355856925,0.10119861587346798,494272
47,494272,490867,326,1032,2047,24.8472471037726,0.01208360369002388,0.03346525986521675,0.10720403267216205,494272
48,494272,490792,337,1027,2116,24.828343163716177,0.013689500142639638,0.039773908302732565,0.11819342783845235,494272
49,494272,490712,339,1050,2171,24.814428148733164,0.013860421964285195,0.04204378050552131,0.12966764879702855,494272
50,494272,490637,335,1055,2245,24.810119857790433,0.011280206731101024,0.047348098859382945,0.13125183661908182,494272
51,494272,490566,341,1038,2327,24.806461675526098,0.010570455489784875,0.04716438263378302,0.13580348635033496,494272
52,494272,490479,347,1038,2408,24.81187448242427,0.009317885328075655,0.04838398404540155,0.13042364820225266,494272
53,494272,490401,361,1029,2481,24.803732798019595,0.00851323349307549,0.051744627876703767,0.1360093406106255,494272
54,494272,490328,344,1044,2556,24.794221195864914,0.0075645593376785685,0.04721594997928142,0.15099829481812604,494272
55,494272,490246,359,1052,2615,24.78304384100328,0.012520666120635677,0.04789822549314316,0.15653726738294144,494272
56,494272,490157,365,1081,2669,24.796464066573055,0.011618337307759295,0.05214052472436862,0.139777071394817,494272
57,494272,490069,379,1067,2757,24.786011558013676,0.01455114529389861,0.05517877569438191,0.14425852099804332,494272
58,494272,489999,368,1076,2829,24.779171992273163,0.01226896427488709,0.059222227285788326,0.14933681616616065,494272
59,494272,489936,344,1092,2900,24.783131931776033,0.01051048973604094,0.05673659267672346,0.14962098581120234,494272
60,494272,489861,340,1101,2970,24.77352803732057,0.011481697260638036,0.05462159571829645,0.16036866970049374,494272
61,494272,489776,350,1102,3044,24.763667714774556,0.015164124237140602,0.06005472487365037,0.1611134361146523,494272
62,494272,489692,357,1106,3117,24.73830913979599,0.013348789074112886,0.07711314455735786,0.17122892657253716,494272
63,494272,489619,362,1095,3196,24.731132568113825,0.018320846920706273,0.070492631212247,0.18005395375322308,494272
64,494272,489533,370,1098,3271,24.725758847558566,0.020045473471966363,0.06529957909628539,0.18889609987318043,494272
65,494272,489451,392,1096,3333,24.723790669429015,0.018749110005340068,0.06426242034885066,0.19319780021679467,494272
66,494272,489365,394,1105,3408,24.708022983598063,0.018129371987152743,0.0660679602025927,0.20777968421219253,494272
67,494272,489281,386,1145,3460,24.702228653344388,0.01960858928430967,0.06671078954171143,0.211451967829592,494272
68,494272,489203,385,1153,3531,24.693324719104606,0.017651015459026337,0.06570044501696724,0.22332382041940105,494272
69,494272,489124,376,1163,3609,24.702171082773987,0.017051093794070375,0.06746155996355423,0.2133162634683892,494272
70,494272,489063,361,1165,3683,24.696248018589237,0.016222888682377538,0.07411059744451431,0.2134184952838718,494272
71,494272,488977,374,1162,3759,24.703254065252874,0.01509013144505113,0.07295251932154405,0.2087032839805304,494272
72,494272,488913,356,1178,3825,24.689490249414373,0.020022314268027742,0.07397947797500504,0.21650795834259343,494272
73,494272,488811,379,1184,3898,24.660537837385625,0.02300594114711944,0.08580920765104225,0.23064701381621341,494272
74,494272,488717,392,1189,3974,24.669961211301917,0.01931317796655808,0.08113399773460228,0.22959161299692213,494272
75,494272,488641,387,1179,4065,24.663696970376517,0.023516707853708182,0.07325417466373968,0.2395321471060362,494272
76,494272,488556,394,1179,4143,24.670008108477003,0.02896511311381374,0.06370661782215528,0.23732016058702823,494272
77,494272,488457,414,1173,4228,24.661639264634662,0.030850620346958412,0.0633402243467838,0.2441698906715948,494272
78,494272,488375,402,1186,4309,24.666850188251182,0.02445531062657247,0.07043423840691732,0.23826026271532819,494272
79,494272,488295,397,1205,4375,24.676607413373475,0.015485397136071999,0.06601034570804226,0.2418968437824099,494272
80,494272,488232,377,1218,4445,24.67953634108384,0.014479938262673719,0.06697480380535457,0.23900891684813327,494272
