Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494214,50,8,0,24.9988804729091,0.0010187763642095578,0.00010075072668881441,0.0,494272
2,494272,494152,93,26,1,24.997572619308897,0.0014597655585659895,0.000906512847312058,6.110228522546743e-05,494272
3,494272,494096,123,51,2,24.995776174451397,0.002764378423351628,0.0013877164920977944,7.173063315506525e-05,494272
4,494272,494037,154,79,2,24.992816784788452,0.004811092182962729,0.002300392395430668,7.173063315506525e-05,494272
5,494272,493970,176,119,7,24.99054717068241,0.00691225597160916,0.0024565682696062775,8.400507637148434e-05,494272
6,494272,493902,199,158,13,24.988965045992757,0.0076374495836273835,0.0031861593430292066,0.00021134508058580774,494272
7,494272,493830,217,199,26,24.98432931287004,0.010050316609770724,0.005181640428680914,0.00043873009150829955,494272
8,494272,493775,228,230,39,24.974794632165807,0.01387158657212533,0.010627114850291837,0.0007066664117777092,494272
9,494272,493700,251,270,51,24.967959064099947,0.02022350154927443,0.007490869274296878,0.004326565076480781,494272
10,494272,493634,254,318,66,24.966506838594473,0.009249666952903942,0.02040941839440006,0.0038340760582219768,494272
11,494272,493561,269,359,83,24.965164128673884,0.00881665647587228,0.021935905944125315,0.004083308906117497,494272
12,494272,493491,298,383,100,24.964636053364003,0.010499756781876994,0.02017726143075825,0.004686928423362015,494272
13,494272,493401,335,418,118,24.960770457776945,0.013665775952666841,0.020479836119748383,0.00508393015064057,494272
14,494272,493316,357,455,144,24.956582378928648,0.012951133984392979,0.024631996523199785,0.005834490563760738,494272
15,494272,493220,375,509,168,24.951859687568106,0.012791336046353458,0.027161717257749195,0.008187259127789956,494272
16,494272,493111,422,549,190,24.947650738806768,0.013430268370030873,0.02937880515102401,0.0095401876721782,494272
17,494272,493013,432,600,227,24.93830876677167,0.013288149510796541,0.037055303154264675,0.011347780563269847,494272
18,494272,492900,467,638,267,24.940608885314674,0.016553157397096726,0.030199326349985785,0.012638630938242282,494272
19,494272,492788,481,694,309,24.936352283984,0.021809196207628244,0.029239405416678476,0.012599114391694631,494272
20,494272,492681,494,743,354,24.934076567875323,0.01828716911722117,0.03303336364064011,0.01460289936681522,494272
21,494272,492579,509,784,400,24.92527899051204,0.017774875146644345,0.04036366611852509,0.016582468222788374,494272
22,494272,492469,542,814,447,24.919931161304035,0.022062180556081255,0.03818872816093228,0.019817929978951973,494272
23,494272,492328,572,876,496,24.9110965524316,0.023239051073492247,0.03966173297895479,0.026002663515950326,494272
24,494272,492208,593,916,555,24.90729733378287,0.024639132232817548,0.0422073261129284,0.02585620787138223,494272
25,494272,492084,604,967,617,24.899026016305356,0.021434365818744968,0.04253742970138344,0.03700218817451488,494272
26,494272,491949,632,1022,669,24.886211484229776,0.027715373555447766,0.04701886254952978,0.03905427966524767,494272
27,494272,491817,669,1058,728,24.882323595637885,0.02696552948540568,0.04840810381602528,0.042302771060683246,494272
28,494272,491682,682,1120,788,24.88415898496853,0.02769392405524236,0.04895292704004569,0.03919416393618256,494272
29,494272,491566,689,1169,848,24.88276444930773,0.024903576860195367,0.04936125822625967,0.04297071560581727,494272
30,494272,491427,703,1219,923,24.872504048731397,0.027546495657528917,0.054924607142969394,0.04502484846810631,494272
31,494272,491295,700,1270,1007,24.872228443572382,0.02978690851552961,0.05350990122559395,0.04447474668649417,494272
32,494272,491164,703,1315,1090,24.864943054113336,0.02845749380669929,0.05767362669852543,0.04892582538143846,494272
33,494272,491025,728,1352,1167,24.84714063379706,0.030374324378499323,0.06739438694950571,0.055090654874933566,494272
34,494272,490860,760,1411,1241,24.84561089539068,0.029487568193598674,0.06487797625367377,0.06002356016204798,494272
35,494272,490695,783,1482,1312,24.833757213162066,0.0327602135973297,0.07185441961354112,0.061628153627061595,494272
36,494272,490517,817,1530,1408,24.822028630678165,0.03329623519987349,0.08148568132307289,0.06318945279888781,494272
37,494272,490369,828,1577,1498,24.79832508294698,0.04281616886969959,0.0947168969020192,0.06414185128130073,494272
38,494272,490219,845,1598,1610,24.78850590888181,0.03971839318662887,0.08994261695667316,0.08183308097488819,494272
39,494272,490010,910,1647,1705,24.7768153165869,0.05130284897608356,0.08305231008207746,0.08882952435493568,494272
40,494272,489862,893,1719,1798,24.76529363427871,0.05291715462992242,0.09817829118960125,0.08361091990176771,494272
