Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494232.0,34,6,0.0,24.999490990438733,0.00043912217130108265,6.988738996531918e-05,0.0,494272.0
2,494272,494173.0,74,25,0.0,24.99420252054438,0.005502950834785572,0.0002945286208328443,0.0,494272.0
3,494272,494127.0,101,40,4.0,24.99187854693358,0.007535769347085766,0.0005457982915256967,3.988542780722636e-05,494272.0
4,494272,494064.0,129,73,6.0,24.991320875793186,0.00374641029067721,0.004792823320065073,0.00013989059607444018,494272.0
5,494272,494008.0,143,111,10.0,24.984926316706815,0.008375985274783736,0.00650043146192097,0.0001972665564794609,494272.0
6,494272,493936.0,189,131,16.0,24.983706028478075,0.00922709912252973,0.006248641411160462,0.0008182309882345394,494272.0
7,494272,493867.0,205,171,29.0,24.97590273019724,0.011875779508653992,0.011210266132448403,0.0010112241616571506,494272.0
8,494272,493806.0,213,212,41.0,24.972587992748327,0.010270806676004818,0.012717830980966823,0.004423369594699999,494272.0
9,494272,493725.0,250,242,55.0,24.970200793047837,0.00911682115492175,0.0153799418851421,0.005302443912100373,494272.0
10,494272,493155.275,279,269,568.725,24.935681341364706,0.00946524559444534,0.020679319309203907,0.03417409373164358,494272.0
11,494272,492579.119725,293,328,1071.880275,24.899689955711523,0.007032387067721325,0.031469116087587456,0.06180854113316939,494272.0
12,494272,492000.540605275,316,374,1581.459394725,24.866658026690896,0.00942954779777239,0.03348561358942299,0.09042681192190848,494272.0
13,494272,491425.54006466974,333,419,2094.459935330275,24.834417324723542,0.009451967212075328,0.03741495199804825,0.11871575606633453,494272.0
14,494272,490839.1145246051,352,464,2616.8854753949445,24.798366558885593,0.01523980852196077,0.03862553189406186,0.14776810069838497,494272.00000000006
15,494272,490268.2754100805,341,521,3141.72458991955,24.767461238927048,0.01776734577416934,0.03317761303270253,0.1815938022660794,494272.00000000006
16,494272,489683.0071346704,345,575,3668.99286532963,24.725672049648747,0.017703710599053256,0.03562486167441893,0.22099937807777958,494272.0
17,494272,489110.32412753574,357,603,4201.675872464301,24.701705652144096,0.019898583802696282,0.03703215811067027,0.24136360594253709,494272.00000000006
18,494272,488537.2138034082,365,645,4724.786196591836,24.672373930740918,0.019270124865004488,0.03699189390594728,0.2713640504881306,494272.00000000006
19,494272,487954.67658960476,373,691,5253.3234103952445,24.650696312205685,0.01666936700321871,0.04365830965260274,0.2889760111384946,494272.0
20,494272,487360.7219130152,399,731,5781.278086984849,24.621136702912832,0.016748325751354848,0.040472237555646155,0.3216427337801655,494272.0
21,494272,486765.3611911022,437,750,6319.638808897865,24.605601453852213,0.01790724168881614,0.03795481489643905,0.3385364895625311,494272.00000000006
22,494272,486154.59582991106,476,793,6848.404170088967,24.556385701427953,0.016249171821848873,0.04094201547847403,0.38642311127172485,494272.00000000006
23,494272,485540.44123408117,501,843,7387.558765918878,24.539860983938564,0.02250165044453584,0.03723258150752791,0.40040478410937375,494272.00000000006
24,494272,484957.9007928471,499,890,7925.099207152959,24.49842349278797,0.02448664014201551,0.04357956920473597,0.4335102978652786,494272.00000000006
25,494272,484346.94289205427,547,937,8441.057107945806,24.4609198483942,0.02637735732110674,0.0443776988229037,0.46832509546178924,494272.00000000006
26,494272,483749.5959491622,554,998,8970.40405083786,24.455144422246843,0.025420910082848847,0.044340966614840986,0.4750937010554691,494272.00000000006
27,494272,483152.84635321307,558,1062,9499.153646787023,24.41277005876776,0.02315767463478684,0.04755072528887265,0.5165215413085826,494272.0000000001
28,494272,482557.6935068599,566,1103,10045.306493140237,24.36673208378196,0.023464642482000055,0.05884738676744861,0.5509558869685901,494272.0000000001
29,494272,481950.135813353,578,1161,10582.864186647097,24.332313121810323,0.025113927624877578,0.06154248663324897,0.581030463931552,494272.0000000001
30,494272,481333.1856775396,607,1200,11131.81432246045,24.28252367622115,0.02819862380493631,0.07129200878372917,0.6179856911901845,494272.00000000006
31,494272,480722.8524918621,614,1235,11700.147508137989,24.266512116514814,0.028119369742496018,0.06362515412164708,0.6417433596210431,494272.00000000006
32,494272,480106.12963937025,630,1287,12248.870360629851,24.248809475267436,0.0326927848953673,0.06654366532898652,0.6519540745082114,494272.0000000001
33,494272,479479.0235097309,643,1350,12799.97649026922,24.22489755625825,0.03536215492528884,0.0747114867811942,0.6650288020352707,494272.0000000001
34,494272,478871.5444862211,645,1376,13379.455513778952,24.18509891276278,0.03370468944763767,0.08336459100526109,0.6978318067843232,494272.00000000006
35,494272,478247.6729417349,687,1397,13940.327058265173,24.178090494249993,0.031958714414391326,0.09640158844561103,0.6935492028900051,494272.00000000006
36,494272,477623.4252687932,707,1430,14511.574731206909,24.135706701698666,0.0402919375540927,0.08702325769013747,0.7369781030571059,494272.0000000001
37,494272,476997.8018435244,722,1484,15068.198156475702,24.126120414874833,0.034998755875543665,0.08213282832388885,0.7567480009257335,494272.0000000001
38,494272,476386.8040416809,710,1526,15649.195958319226,24.100884417363215,0.03896307628958921,0.08328764781960502,0.7768648585275909,494272.0000000001
39,494272,475761.41723763914,726,1564,16220.582762360908,24.05161408184246,0.038883770072343914,0.08126882528892486,0.8282333227962718,494272.00000000006
40,494272,475138.6558204015,742,1621,16770.344179598545,24.000826729334587,0.03121804451894316,0.08417509152781699,0.883780134618652,494272.00000000006
41,494272,474507.5171645811,761,1647,17356.48283541895,23.96438167911742,0.036621331350118254,0.08377364293637603,0.9152233465960861,494272.00000000006
42,494272,473877.0096474165,793,1687,17914.99035258353,23.929096753360053,0.03754011225360545,0.08980763614052036,0.9435554982458202,494272.0
43,494272,473270.1326377691,785,1730,18486.867362230947,23.91060156913151,0.037279467017345774,0.09315297763741101,0.9589659862137301,494272.00000000006
44,494272,472619.8625051313,826,1754,19072.137494868715,23.83472075829556,0.03849722538055325,0.1013399998086622,1.0254420165152232,494272.0
45,494272,471997.24264262617,804,1813,19657.757357373845,23.809126090201328,0.04326305096132657,0.10947286055435539,1.0381379982829906,494272.0
46,494272,471363.24539998354,823,1842,20243.754600016473,23.814041734839435,0.052036083351030556,0.1020548317415735,1.0318673500679607,494272.0
47,494272,470720.8821545835,852,1860,20839.11784541646,23.81254071993942,0.050549161375162674,0.09792069321852771,1.038989425466889,494272.0
48,494272,470065.161272429,880,1925,21401.83872757104,23.750662191466457,0.04743117414928753,0.11108820139038082,1.0908184329938726,494272.0
49,494272,469429.09611115657,882,1973,21987.90388884347,23.718403772998453,0.04301697608324612,0.11652505674902089,1.1220541941692803,494272.00000000006
50,494272,468771.6670150454,934,2021,22545.332984954624,23.691557858752134,0.04030524103131999,0.11944058240067365,1.1486963178158733,494272.00000000006
51,494272,468107.8953480304,943,2090,23131.104651969672,23.641594288167692,0.04533527468027525,0.12616362105350987,1.186906816098521,494272.00000000006
52,494272,467455.7874526823,963,2145,23708.2125473177,23.577458131460414,0.056366403144487424,0.12326521560348255,1.2429102497916158,494272.0
53,494272,466836.33166522963,961,2208,24266.668334770384,23.586481828618545,0.05700813862044965,0.11931652527317384,1.2371935074878289,494272.0
54,494272,466181.4953335644,994,2221,24875.504666435612,23.527092978177592,0.06715394103986552,0.12380026400862347,1.2819528167739165,494272.0
55,494272,465554.31383823085,986,2275,25456.686161769176,23.49737744831395,0.07175285668904194,0.12763499443299983,1.3032347005640048,494272.0
56,494272,464920.7595243926,988,2324,26039.240475607407,23.461911857997443,0.06781887471152327,0.12800607570573844,1.3422631915852934,494272.0
57,494272,464268.8387648682,971,2381,26651.1612351318,23.429525473507383,0.05918874562946707,0.11678066962263468,1.3945051112405131,494272.0
58,494272,463621.56992610334,1010,2398,27242.43007389667,23.37776231478731,0.06740235334864114,0.1161331951616762,1.4387021367023705,494272.0
59,494272,462964.94835617725,1033,2423,27851.05164382277,23.356280004422466,0.06829824562531883,0.12246346692469534,1.452958283027518,494272.0
60,494272,462292.98340782104,1075,2421,28483.01659217895,23.321830551855314,0.05733904147125926,0.12926751781041335,1.4915628888630115,494272.0
61,494272,461634.69042441325,1070,2467,29100.30957558677,23.281859013605178,0.05354317802871582,0.13053370802867956,1.5340641003374251,494272.0
62,494272,460948.0557339888,1136,2505,29682.94426601118,23.251828377365783,0.056538813242003993,0.14189913821839797,1.549733671173814,494272.0
63,494272,460281.10767825483,1133,2576,30281.89232174517,23.19197472628684,0.049628266141473185,0.15092851848046182,1.6074684890912234,494272.0
64,494272,459576.8265705766,1164,2642,30889.173429423427,23.197134822411396,0.05952782802194457,0.15867439660485216,1.584662952961806,494272.0
65,494272,458893.24974400597,1184,2692,31502.750255994004,23.187257052728025,0.06025860632071341,0.1506542543091921,1.601830086642069,494272.0
66,494272,458214.356494262,1199,2747,32111.643505738008,23.170544679585195,0.0644960084233234,0.14588499524902038,1.6190743167424622,494272.0
67,494272,457553.1421377677,1168,2815,32735.85786223227,23.10060323001297,0.055952571027033354,0.158747795741621,1.684696403218376,494271.99999999994
68,494272,456890.58899563,1182,2847,33352.411004370035,23.04656285242856,0.06389116914570735,0.14760656017200482,1.7419394182537258,494272.0
69,494272,456245.6984066343,1163,2920,33943.30159336567,23.01849599573104,0.06196359730860762,0.1563704236696475,1.7631699832907053,494272.0
70,494272,455552.4527082277,1194,2964,34561.5472917723,22.97323188139028,0.0662018422702923,0.15490846613716824,1.805657810202261,494272.0
71,494272,454869.90025551943,1212,3029,35161.09974448053,22.95538442765777,0.06226261664490622,0.15848498944038208,1.8238679662569441,494271.99999999994
72,494272,454213.0303552639,1210,3054,35794.969644736055,22.88675291120205,0.05603123176883453,0.1530525519711115,1.904163305058007,494271.99999999994
73,494272,453517.8173249087,1239,3107,36408.18267509132,22.832910256124965,0.06696780137018112,0.15636844480440282,1.9437534977004491,494272.0
74,494272,452826.2995075837,1250,3135,37060.700492416225,22.803611356541275,0.0685335801148837,0.14732541788665915,1.980529645457182,494271.99999999994
75,494272,452157.47320807615,1256,3184,37674.52679192381,22.789600133381843,0.05816723609932518,0.15225325896172892,1.9999793715571048,494271.99999999994
76,494272,451472.3157348681,1280,3194,38325.68426513188,22.783708153923744,0.06220456557538453,0.1560117612531454,1.9980755192477255,494272.0
77,494272,450785.8434191332,1294,3277,38915.15658086675,22.714345214963537,0.07004340639864405,0.16960803434119884,2.046003344296618,494272.0
78,494272,450110.0575757141,1283,3316,39562.94242428588,22.703103272683073,0.07608540225846001,0.16238264567488,2.0584286793835864,494271.99999999994
79,494272,449405.9475181384,1306,3347,40213.052481861596,22.686677096514135,0.08156528897492644,0.1583059930553301,2.0734516214556105,494272.0
80,494272,448717.54157062026,1332,3347,40875.45842937973,22.66398091868786,0.0822410280182017,0.16617728786338395,2.0876007654305564,494272.0
81,494272,448055.8240290496,1343,3346,41527.17597095035,22.65276314133962,0.08226876528445642,0.16329963268525916,2.101668460690666,494271.99999999994
82,494272,447371.7682050206,1347,3387,42166.2317949794,22.621299612792967,0.07625742126881152,0.15391156286524474,2.1485314030729783,494272.0
83,494272,446702.3964368155,1348,3390,42831.60356318442,22.60066779352705,0.0730392671365745,0.15651517954397123,2.1697777597924026,494271.99999999994
84,494272,446043.69404037873,1326,3436,43466.30595962124,22.58914026390818,0.06734318905000995,0.1593888621359953,2.1841276849058144,494272.0
85,494272,445349.65034633834,1324,3492,44106.349653661615,22.599539392903786,0.0670398705617516,0.16341976945003386,2.1700009670844307,494271.99999999994
86,494272,444649.300695992,1355,3528,44739.699304007954,22.536934531709395,0.07973838326054276,0.1692823509620176,2.2140447340680436,494272.0
87,494272,443980.65139529604,1377,3545,45369.34860470395,22.474746698083774,0.07980682713658,0.18004249244853307,2.265403982331114,494272.0
88,494272,443246.6707439007,1451,3546,46028.32925609924,22.450237072903768,0.07640536288603626,0.18972167406902846,2.2836358901411686,494271.99999999994
89,494272,442542.42407315684,1470,3574,46685.57592684314,22.37968756763071,0.06694890434251519,0.18986721610360163,2.3634963119231744,494272.0
90,494272,441915.8816490837,1410,3640,47306.1183509163,22.289888504521528,0.0766323950760914,0.19441020442536053,2.4390688959770217,494272.0
91,494272,441238.9657674346,1425,3634,47974.034232565384,22.26127457337583,0.06854083168238366,0.17845926121906047,2.4917253337227288,494272.0
92,494272,440531.72680166713,1484,3621,48635.27319833282,22.202711592128036,0.07315944306931818,0.18923540308011538,2.5348935617225306,494271.99999999994
93,494272,439860.1950748655,1474,3698,49239.804925134486,22.13254914758159,0.06944295677926078,0.20156490184723086,2.596442993791919,494271.99999999994
94,494272,439205.3348797906,1414,3776,49876.66512020935,22.06402078405621,0.06011885531838076,0.2025020280676463,2.673358332557763,494271.99999999994
95,494272,438527.1295449108,1432,3779,50533.87045508914,22.051847256261475,0.06202574472863605,0.1994636975401639,2.6866633014697276,494271.99999999994
96,494272,437828.60241536587,1486,3811,51146.397584634055,21.994061536655778,0.06877244734876027,0.19289475968332612,2.7442712563121363,494271.99999999994
97,494272,437134.77381295053,1477,3859,51801.22618704942,21.967924396188458,0.06371255686469018,0.20960131320613748,2.758761733740715,494271.99999999994
98,494272,436466.6390391376,1474,3863,52468.36096086237,21.948266219701143,0.05669108330426131,0.19085886586672196,2.8041838311278755,494271.99999999994
99,494272,435817.17240009847,1477,3917,53060.82759990151,21.924808766208766,0.0542605729456178,0.17925289139288403,2.8416777694527355,494272.0
100,494272,435107.35522769834,1514,3931,53719.64477230161,21.883947901267618,0.06238756331915126,0.18450242904130726,2.869162106371924,494271.99999999994
101,494272,434866.35522769834,1532,3936,53937.64477230161,21.92065980298327,0.06541372986408983,0.19062786412345686,2.8232986030291856,494271.99999999994
102,494272,434633.35522769834,1530,3961,54147.64477230161,21.91640347905221,0.07300880836161465,0.2004891429644027,2.810098569621775,494271.99999999994
103,494272,434387.35522769834,1545,3971,54368.64477230161,21.93961913488213,0.0791880195656299,0.19098542471645413,2.79020742083579,494271.99999999994
104,494272,434126.35522769834,1609,3956,54580.64477230161,21.873189533920055,0.0915889148638944,0.1885222414564434,2.846699309759611,494271.99999999994
105,494272,433841.35522769834,1629,4001,54800.64477230161,21.8603898684278,0.07931247182788527,0.19458940977092873,2.8657082499733892,494271.99999999994
106,494272,433638.35522769834,1563,4027,55043.64477230161,21.83961147347146,0.07181342247903078,0.18854933161596008,2.900025772433551,494271.99999999994
107,494272,433398.35522769834,1556,4046,55271.64477230161,21.836642833899447,0.07577240699281888,0.18401614233612024,2.9035686167716155,494271.99999999994
108,494272,433157.35522769834,1534,4090,55490.64477230161,21.825038649573695,0.07858158013875079,0.19304751472140796,2.903332255566147,494271.99999999994
109,494272,432891.35522769834,1551,4117,55712.64477230161,21.80077421683082,0.08692198821105675,0.19428157313079747,2.918022221827327,494271.99999999994
110,494272,432654.35522769834,1552,4155,55910.64477230161,21.811315282934643,0.09092695304895983,0.21345961878324843,2.8842981452331524,494271.99999999994
111,494272,432366.35522769834,1586,4196,56123.64477230161,21.788164560246912,0.09528762897018835,0.22706389035722238,2.889483920425681,494271.99999999994
112,494272,432117.35522769834,1545,4266,56343.64477230161,21.792517601828877,0.07564280013142738,0.2741333416668749,2.8577062563728255,494271.99999999994
113,494272,431846.35522769834,1549,4291,56585.64477230161,21.79345012235261,0.078139135716187,0.2539490026779082,2.874461739253296,494271.99999999994
114,494272,431539.35522769834,1600,4320,56812.64477230161,21.774669947971024,0.07946252387309308,0.2521145639882495,2.8937529641676347,494271.99999999994
115,494272,431252.35522769834,1617,4341,57061.64477230161,21.713664405493272,0.08057279940525826,0.23692904061023287,2.9688337544912398,494271.99999999994
116,494272,430992.35522769834,1627,4346,57306.64477230161,21.72768328742636,0.09681959744516098,0.23756473913858633,2.937932375989896,494271.99999999994
117,494272,430741.35522769834,1610,4352,57568.64477230161,21.742670727058776,0.0895680586281742,0.24162663244194693,2.9261345818711058,494271.99999999994
118,494272,430492.35522769834,1601,4362,57816.64477230161,21.694288067559,0.09302187338351776,0.24851376268338066,2.9641762963741027,494271.99999999994
119,494272,430218.35522769834,1596,4413,58044.64477230161,21.68534242348964,0.09458762504719823,0.24245280473256156,2.9776171467306023,494271.99999999994
120,494272,429944.35522769834,1596,4431,58300.64477230161,21.692322359578,0.08912325128671926,0.23280916862952114,2.98574522050576,494271.99999999994
121,494272,429687.35522769834,1606,4431,58547.64477230161,21.711729576119527,0.0763768442194685,0.21380038208773416,2.9980931975732736,494271.99999999994
122,494272,429430.35522769834,1594,4464,58783.64477230161,21.642096761399866,0.08656850913270782,0.22138665569305,3.0499480737743796,494271.99999999994
123,494272,429190.35522769834,1593,4464,59024.64477230161,21.622118481484645,0.08090205273674518,0.21271784727069482,3.084261618507918,494271.99999999994
124,494272,428934.35522769834,1600,4453,59284.64477230161,21.680135583607953,0.0757923037483627,0.21982695231522464,3.0242451603284612,494271.99999999994
125,494272,428641.35522769834,1636,4461,59533.64477230161,21.58068755563507,0.07832918989083756,0.22872188937355142,3.1122613651005446,494271.99999999994
126,494272,428355.35522769834,1620,4451,59845.64477230161,21.552652506625968,0.0722043576990982,0.22399791971152047,3.1511452159634157,494271.99999999994
127,494272,428100.35522769834,1645,4446,60080.64477230161,21.582294574811208,0.07954810255557034,0.2282736063464612,3.1098837162867627,494271.99999999994
128,494272,427826.35522769834,1621,4493,60331.64477230161,21.607298038842597,0.08273754394675079,0.2270489479390407,3.0829154692716156,494271.99999999994
129,494272,427502.35522769834,1672,4532,60565.64477230161,21.601814826936923,0.07942673656775896,0.23221391904806976,3.0865445174472503,494271.99999999994
130,494272,427190.35522769834,1704,4564,60813.64477230161,21.56917852044051,0.08699951910768089,0.24167574209021403,3.1021462183615993,494271.99999999994
131,494272,426941.35522769834,1726,4579,61025.64477230161,21.493779926135584,0.09339884201042525,0.242063505363142,3.170757726490851,494271.99999999994
132,494272,426662.35522769834,1707,4636,61266.64477230161,21.503893400752084,0.09456080868122364,0.24764961899131194,3.153896171575383,494271.99999999994
133,494272,426392.35522769834,1701,4682,61496.64477230161,21.537899876848957,0.09097424250186102,0.23879201689524848,3.132333863753937,494271.99999999994
134,494272,426101.35522769834,1699,4674,61797.64477230161,21.523089191429754,0.10263443715866262,0.24322116433221083,3.1310552070793727,494271.99999999994
135,494272,425821.35522769834,1711,4685,62054.64477230161,21.465794257320407,0.09155522863591346,0.25075336457204384,3.1918971494716395,494271.99999999994
136,494272,425537.35522769834,1726,4715,62293.64477230161,21.4883958253318,0.09685908807225346,0.25344477489616957,3.161300311699778,494271.99999999994
137,494272,425272.35522769834,1713,4765,62521.64477230161,21.441862952074334,0.09750866849044863,0.26583964195255083,3.194788737482668,494271.99999999994
138,494272,424960.35522769834,1732,4750,62829.64477230161,21.45743236448088,0.09684013232378962,0.2652504751522826,3.1804770280430503,494271.99999999994
139,494272,424674.35522769834,1767,4740,63090.64477230161,21.43308474619919,0.08882731360274523,0.2644632070069582,3.2136247331911094,494271.99999999994
140,494272,424388.35522769834,1796,4770,63317.64477230161,21.39596140700055,0.0883726133482016,0.26903801838524366,3.2466279612660083,494271.99999999994
141,494272,424098.35522769834,1835,4749,63589.64477230161,21.337289576311722,0.08943488143477862,0.2629111955197669,3.310364346733736,494271.99999999994
142,494272,423787.35522769834,1836,4799,63849.64477230161,21.361095466762837,0.08876137035499623,0.26972403643691767,3.2804191264452522,494271.99999999994
143,494272,423489.35522769834,1852,4825,64105.64477230161,21.313942324937997,0.09664684201447109,0.2629500076842673,3.326460825363268,494271.99999999994
144,494272,423190.35522769834,1854,4850,64377.64477230161,21.301242510376518,0.09922539721435154,0.2593083106168154,3.3402237817923166,494271.99999999994
145,494272,422930.35522769834,1827,4903,64611.64477230161,21.303690765449875,0.08925752522331079,0.24512121674398957,3.3619304925828253,494271.99999999994
146,494272,422639.35522769834,1841,4923,64868.64477230161,21.24955231909144,0.09018777432502242,0.2512533902221096,3.4090065163614294,494271.99999999994
147,494272,422315.35522769834,1871,4927,65158.64477230161,21.232917199603314,0.09255047319057147,0.26658462364877855,3.407947703557339,494271.99999999994
148,494272,422004.35522769834,1887,4952,65428.64477230161,21.187595348997302,0.09852756839295453,0.266804739992372,3.4470723426173744,494271.99999999994
149,494272,421649.35522769834,1927,4991,65704.6447723016,21.101258638069247,0.10043109270769081,0.2715994907842924,3.526710778438772,494271.99999999994
150,494272,421349.35522769834,1929,5007,65986.6447723016,21.16093212146796,0.09882614442290463,0.26686208356049357,3.473379650548641,494271.99999999994
151,494272,421034.35522769834,1917,5012,66308.6447723016,21.190300554198707,0.10184173626682444,0.26114607224855574,3.4467116372859143,494271.99999999994
152,494272,420741.35522769834,1893,5066,66571.6447723016,21.20139952580422,0.10629428731215727,0.2633509415534077,3.428955245330219,494271.99999999994
153,494272,420443.35522769834,1894,5068,66866.6447723016,21.17667783769518,0.09778870161943251,0.2522503019157066,3.4732831587696813,494271.99999999994
154,494272,420140.35522769834,1895,5058,67178.6447723016,21.202921836008443,0.10188144846717329,0.25635312895544254,3.438843586568944,494271.99999999994
155,494272,419854.35522769834,1916,5063,67438.6447723016,21.19333705380979,0.09779314492211898,0.2416055330103705,3.4672642682577237,494271.99999999994
