Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494212,47,13,0,24.998965967073893,0.0008591605886959304,0.0001748723374111652,0.0,494272
2,494272,494159,80,33,0,24.997904163506835,0.001552751757623264,0.0005430847355404942,0.0,494272
3,494272,494093,123,54,2,24.99565885544746,0.0030453126452335564,0.0012684579090620892,2.73739982469279e-05,494272
4,494272,494015,163,84,10,24.992140116592115,0.005397788467531733,0.002264828383874303,0.0001972665564794609,494272
5,494272,493949,187,118,18,24.9832875430307,0.013197898925768179,0.0032252860266627757,0.0002892720168693781,494272
6,494272,493882,214,149,27,24.982826714316857,0.013163097966021274,0.003629065894446908,0.00038112182267453895,494272
7,494272,493810,228,199,35,24.977895128947374,0.01654770081395787,0.0045358366041923755,0.0010213336344745895,494272
8,494272,493733,247,245,47,24.972805988997074,0.01838032705980298,0.006946639125518744,0.0018670448176047203,494272
9,494272,493650,269,283,70,24.97480195196464,0.014604913470478709,0.007514934925965745,0.003078199638914389,494272
10,494272,493573,292,317,90,24.97402196164131,0.01109205691992717,0.011559416241710335,0.003326565197052379,494272
11,494272,493484,305,364,119,24.972637249806684,0.011164433344940446,0.012347173240253912,0.003851143608121909,494272
12,494272,493395,322,407,148,24.970328370859722,0.008728413049440808,0.016478464814743563,0.004464751276092365,494272
13,494272,493296,332,472,172,24.96889182740502,0.008030356983687134,0.018182451119994763,0.004895364491297295,494272
14,494272,493189,349,523,211,24.967197735306648,0.008431751269193807,0.01849037586621305,0.005880137557945052,494272
15,494272,493080,380,570,242,24.961842248710767,0.010910637770003785,0.02028788342111794,0.006959230098113516,494272
16,494272,492983,404,603,282,24.961864444781575,0.010579652314674113,0.019797234418761727,0.007758668484988627,494272
17,494272,492889,410,642,331,24.95884343674698,0.009807308392743781,0.021743288475363238,0.009605966384909737,494272
18,494272,492803,421,672,376,24.95627031550318,0.01021154819228269,0.021662133181209596,0.011856003123327161,494272
19,494272,492687,441,730,414,24.951390408951404,0.011024131341353199,0.02228650135840522,0.01529895834883913,494272
20,494272,492583,446,776,467,24.94899953439224,0.00967695567512639,0.024191891845436877,0.017131618087196473,494272
21,494272,492470,456,833,513,24.938198913834693,0.010375028536468324,0.026049872580179757,0.025376185048658562,494272
22,494272,492346,473,890,563,24.935528175819837,0.008679052534408364,0.02952681047754617,0.02626596116820975,494272
23,494272,492239,480,917,636,24.93416139027003,0.009577877263419417,0.02772449097864075,0.028536241487910407,494272
24,494272,492115,482,973,702,24.927791475177006,0.013301304935403204,0.027872369182623175,0.031034850704967015,494272
25,494272,491961,524,1021,766,24.92249136657979,0.015179573514012874,0.029006095675972378,0.03332296423022314,494272
26,494272,491828,538,1079,827,24.923874642076818,0.016024925090450236,0.031034754863568933,0.02906567796916309,494272
27,494272,491690,565,1111,906,24.916601810540726,0.017936138930929324,0.03266808414778027,0.03279396638056445,494272
28,494272,491557,597,1149,969,24.911936758173916,0.01755430931526192,0.03533706316217666,0.03517186934864718,494272
29,494272,491408,610,1214,1040,24.903790845337863,0.01845380323116284,0.03673970200206757,0.04101564942890683,494272
30,494272,491258,619,1254,1141,24.89514910998242,0.023350170997546237,0.03654572434738146,0.04495499467265288,494272
31,494272,491091,668,1277,1236,24.887129476610774,0.028552864354748443,0.03542202381228468,0.04889563522219327,494272
32,494272,490944,676,1330,1322,24.878856008405204,0.02558927952904667,0.0450652546901917,0.05048945737555878,494272
33,494272,490775,714,1369,1414,24.865551065091566,0.030468078689883347,0.04973837960634163,0.05424247661220848,494272
34,494272,490625,724,1408,1515,24.862743298059687,0.0275417057645953,0.05383061859043327,0.0558843775852854,494272
35,494272,490492,711,1453,1616,24.859508832785554,0.02319672959966719,0.05620614328326493,0.06108829433151255,494272
