Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274258,20,6,0,24.999814699582586,0.00010428670500941188,8.101371240421276e-05,0.0,274284
2,274284,274221,47,15,1,24.999121440654026,0.0006956745801633836,0.0001776704305598373,5.214335250470594e-06,274284
3,274284,274184,58,41,1,24.996844321980497,0.000978239459687292,0.0021722242245656833,5.214335250470594e-06,274284
4,274284,274140,83,58,3,24.99569610755967,0.0017024757086530119,0.002510264780581821,9.115195109506453e-05,274284
5,274284,274090,111,78,5,24.993341147699038,0.0034469835731355076,0.0031102881062309226,0.00010158062159600572,274284
6,274284,274042,127,109,6,24.987373155185665,0.006564177726936414,0.00418778465118807,0.0018748824362096075,274284
7,274284,273977,154,142,11,24.983508203781913,0.008752200312993286,0.005381535277213276,0.002358060627881855,274284
8,274284,273916,180,165,23,24.97710370325453,0.010528846257408981,0.008697804878069034,0.003669645609991814,274284
9,274284,273842,203,206,33,24.974706142983138,0.010553995959087587,0.011237729763758284,0.0035021312940169405,274284
10,274284,273759,244,228,53,24.968865559886545,0.010893575112165627,0.015608253355965393,0.0046326116453243565,274284
11,274284,273646,309,254,75,24.95401426589769,0.020724837258840206,0.01994297108429645,0.005317925759173374,274284
12,274284,273543,333,312,96,24.944934981034113,0.02360526761204231,0.025720712070710073,0.005739039283136356,274284
13,274284,273417,383,365,119,24.935339590897062,0.026535029417668433,0.027857150137745416,0.01026822954752481,274284
14,274284,273264,446,419,155,24.926846002728936,0.025514437950239967,0.03479642772597638,0.012843131594846548,274284
15,274284,273097,529,463,195,24.901145924675514,0.039843056192144136,0.04213236087587599,0.01687865825646556,274284
16,274284,272915,604,539,226,24.89263195918114,0.04287569121676426,0.04441105579110191,0.020081293810992863,274284
17,274284,272746,649,627,262,24.86213609441195,0.05162047715219057,0.05368873419760097,0.032554694238255195,274284
18,274284,272544,710,716,314,24.844818651973952,0.06302225428170918,0.06675703587927787,0.025402057865059353,274284
19,274284,272327,772,829,356,24.829348938409954,0.06397181130719165,0.07585225519298706,0.030826995089866988,274284
20,274284,272059,888,920,417,24.811405110203097,0.07095480975905652,0.07511609607729623,0.042523983960550994,274284
21,274284,271736,1014,1039,495,24.79578284246982,0.07153918354958579,0.07992718166298558,0.05275079231760925,274284
22,274284,271378,1156,1179,571,24.782431146872938,0.08354545014298521,0.08061799757906912,0.053405405405007635,274284
23,274284,271035,1306,1286,657,24.74345328151069,0.10134329810962017,0.09341843941462752,0.061784980965064906,274284
