Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274254,23,7,0,24.999843569942485,0.00011992971076082366,3.6500346753294155e-05,0.0,274284
2,274284,274217,47,19,1,24.999314458195872,0.0005812550991173607,9.907236975894128e-05,5.214335250470594e-06,274284
3,274284,274175,70,37,2,24.994977295488603,0.0027224659673420566,0.0022898098735544426,1.0428670500941187e-05,274284
4,274284,274130,92,55,7,24.992782158231172,0.0035372123275128698,0.003644129094562629,3.6500346753294155e-05,274284
5,274284,274086,107,79,12,24.99327760929124,0.0032166420574518185,0.0034431766283023984,6.257202300564712e-05,274284
6,274284,274021,150,95,18,24.988011557091127,0.007514654190923901,0.00405456650629327,0.00041922221165469433,274284
7,274284,273970,173,115,26,24.985505919516502,0.0052191673982655866,0.008738467246231656,0.0005364458390021118,274284
8,274284,273895,209,147,33,24.97937946866565,0.0079694790361254,0.010807851269535892,0.0018432010286909442,274284
9,274284,273822,237,180,45,24.97934077666367,0.00779561113541413,0.009769989069784442,0.003093623131132045,274284
10,274284,273799,213,215,57,24.974089546926702,0.01167175920675083,0.009955114264078562,0.004283579602469341,274284
11,274284,273774,187,253,70,24.970573404255617,0.00995708647695154,0.013802966660409604,0.0056665426070225434,274284
12,274284,273740,179,275,90,24.961561823543047,0.01538529338591766,0.01580291616687005,0.007249966904166513,274284
13,274284,273711,169,295,109,24.959276227718846,0.01589407638406011,0.018824823014754598,0.006004872882341238,274284
14,274284,273675,163,314,132,24.950829262618605,0.02009314187860593,0.020136058314397656,0.008941537188392728,274284
15,274284,273636,176,321,151,24.93956063096361,0.025039956902306815,0.02227149260897644,0.013127919525106427,274284
16,274284,273601,169,341,173,24.935968626032814,0.022937644793905653,0.028166954690272954,0.012926774483008753,274284
17,274284,273563,174,350,197,24.932922669186045,0.022597297119641008,0.027999651827823224,0.016480381866490788,274284
18,274284,273520,182,357,225,24.926785578622294,0.024357062083746463,0.031149196990418144,0.017708162303540442,274284
19,274284,273468,200,366,250,24.913257375177043,0.02923314683013073,0.03678096903890341,0.020728508953921605,274284
20,274284,273421,206,382,275,24.902750790110783,0.030260246746210327,0.044568190604897646,0.02242077253810856,274284
21,274284,273373,214,399,298,24.888957513734116,0.03586431531766459,0.04765845013492277,0.027519720813297097,274284
22,274284,273296,249,417,322,24.876802754545366,0.04132688882643517,0.05000840149352879,0.03186195513466917,274284
23,274284,273230,252,462,340,24.856460190511232,0.04503184073563255,0.06228969584390202,0.03621827290923439,274284
24,274284,273156,273,470,385,24.83344901051299,0.05814666187848486,0.06147523335762592,0.04692909425089945,274284
25,274284,273065,318,487,414,24.811597417992424,0.06891255953258492,0.06936089063949556,0.05012913183549715,274284
26,274284,272981,340,512,451,24.786661517472258,0.07989862707158905,0.07881109226129122,0.05462876319486373,274284
27,274284,272880,369,554,481,24.76150880022294,0.08412355483142331,0.09469794105830318,0.05966970388733181,274284
28,274284,272758,426,575,525,24.730332724132094,0.10502259282501034,0.10238016774081062,0.06226451530208631,274284
29,274284,272635,464,631,554,24.69670082104392,0.11939578836730212,0.1143088271455046,0.06959456344327346,274284
30,274284,272495,499,692,598,24.654242129527102,0.1347803026367804,0.13124579445704598,0.07973177337907233,274284
31,274284,272350,542,741,651,24.610477927173825,0.15121288365517516,0.14488349109643708,0.09342569807456134,274284
32,274284,272169,602,808,705,24.557728385468355,0.17354611522926072,0.1639051045422845,0.10482039476009836,274284
33,274284,271958,696,861,769,24.50671824462619,0.19824873257012335,0.1822697794978975,0.11276324330578974,274284
34,274284,271802,731,908,843,24.4687364574697,0.20633761768336523,0.20290562084270192,0.1220203040042347,274284
35,274284,271595,790,990,909,24.422029998958763,0.2170580399878346,0.22339721532055287,0.13751474573284808,274284
36,274284,271379,841,1083,981,24.349486500625204,0.2439412719596233,0.25132849254547657,0.15524373486969759,274284
37,274284,271103,960,1169,1052,24.26231700124286,0.29409844180250083,0.27077064808921447,0.17281390886542458,274284
38,274284,270802,1076,1261,1145,24.18311660074606,0.3137796896536103,0.30863708845047044,0.19446662114985963,274284
39,274284,270510,1120,1414,1240,24.092530814272656,0.32494012126191735,0.35616988887665285,0.22635917558877341,274284
40,274284,270149,1248,1548,1339,23.993923009776463,0.3575146296389725,0.40481759154706215,0.24374476903750344,274284
41,274284,269737,1370,1730,1447,23.88855135144592,0.3846001537347695,0.46002558776132124,0.2668229070579895,274284
42,274284,269284,1551,1892,1557,23.759218675539092,0.4337473873666358,0.5100210466925611,0.29701289040171247,274284
43,274284,268773,1729,2094,1688,23.61960134601317,0.5031485304902737,0.5466757337521868,0.3305743897443715,274284
44,274284,268241,1899,2295,1849,23.46779676736761,0.54739716089867,0.6051937708546964,0.37961230087902365,274284
45,274284,267653,2140,2480,2011,23.308791887275543,0.6159503348939405,0.6607920883880777,0.4144656894424389,274284
46,274284,267040,2320,2741,2183,23.129205755269513,0.6638461132086844,0.7455228598254322,0.46142527169636993,274284
47,274284,266345,2537,3027,2375,22.945372076150452,0.7226504773733098,0.8144062551570785,0.5175711913191595,274284
48,274284,265570,2766,3354,2594,22.710228771136514,0.8105501041788152,0.9023183966954731,0.5769027279891976,274284
49,274284,264717,3054,3688,2825,22.454557905759092,0.8927098384316712,1.006847821492135,0.6458844343171012,274284
50,274284,263795,3364,4061,3064,22.191373368219725,0.9735767053646605,1.1301250275455095,0.7049248988701038,274284
51,274284,262816,3693,4392,3383,21.88175168876075,1.0841459304193948,1.2372238081494766,0.7968785726703785,274284
52,274284,261715,4080,4829,3660,21.561438640159135,1.206331034637511,1.3586931541052465,0.873537171098108,274284
53,274284,260544,4402,5336,4002,21.226899704451768,1.260631496502533,1.5417755158448052,0.9706932832008949,274284
54,274284,259215,4876,5787,4406,20.826310036697336,1.4302321252999843,1.6661957750714422,1.077262062931237,274284
55,274284,257980,5144,6375,4785,20.438951212561392,1.5345178232118868,1.8405941671956652,1.1859367970310548,274284
56,274284,256525,5531,6991,5237,19.972083116292225,1.6481759004487448,2.0458608688735374,1.333880114385492,274284
57,274284,254930,5987,7641,5726,19.474142487480695,1.781978938734767,2.252428180651149,1.4914503931333893,274284
58,274284,253285,6401,8295,6303,18.969688219505247,1.9199570132256008,2.4595916139508893,1.650763153318263,274284
59,274284,251556,6861,8973,6894,18.467239770244912,2.0355113606324564,2.6876772653759065,1.8095716037467247,274284
60,274284,249739,7298,9748,7499,17.933287527163845,2.1789365323816883,2.9076568529625053,1.98011908749196,274284
61,274284,247782,7758,10537,8207,17.35309729476218,2.3169335189840377,3.147843083713962,2.1821261025398218,274284
62,274284,245833,8161,11371,8919,16.76991159810354,2.41255105684462,3.411662223585871,2.4058751214659684,274284
63,274284,243783,8556,12236,9709,16.196532129949638,2.4730416063758693,3.6858579345833524,2.644568329091139,274284
64,274284,241734,8837,13117,10596,15.577694864971457,2.58056294327003,3.924759418388028,2.9169827733704836,274284
