Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274255,27,2,0,24.999848784277738,0.00014078705176270604,1.0428670500941187e-05,0.0,274284
2,274284,274223,47,14,0,24.9979893470157,0.0019376522907915963,7.300069350658831e-05,0.0,274284
3,274284,274196,64,23,1,24.996967700107696,0.0004331728578328964,0.0022685485220759567,0.00033057851239669424,274284
4,274284,274157,86,37,4,24.995807527758707,0.0021981395448529006,0.0016481111782907757,0.00034622151814810604,274284
5,274284,274108,112,60,4,24.992107073468603,0.004006660799851963,0.0034903165124946975,0.0003959492190494952,274284
6,274284,274061,130,86,7,24.991218398743367,0.0043950895997012145,0.003925191731228318,0.0004613199257022962,274284
7,274284,273993,159,119,13,24.98730036329519,0.005810390104461883,0.006321131717800563,0.0005681148825487725,274284
8,274284,273927,181,155,21,24.982901758378663,0.006989588219623229,0.008587752057606684,0.0015209013441083578,274284
9,274284,273842,230,176,36,24.978334843195974,0.0090681349592009,0.00984499784812649,0.0027520239966989427,274284
10,274284,273796,232,215,41,24.973905041855943,0.009364369933882006,0.013189125726958848,0.003541462483214876,274284
11,274284,273748,233,249,54,24.96804879031854,0.008687324934755035,0.01826373043572725,0.005000154310975016,274284
12,274284,273704,226,278,76,24.96714780134503,0.008289629296955422,0.018095125523817625,0.006467443834198906,274284
13,274284,273673,194,314,103,24.964451570222874,0.007389197644127763,0.020081253490490558,0.008077978642507803,274284
14,274284,273629,189,332,134,24.959173934454068,0.00599790083103207,0.021740357106855776,0.013087807608045253,274284
15,274284,273579,197,355,153,24.956333158357022,0.009310061811293954,0.02019394031186243,0.01416283951982181,274284
16,274284,273541,193,366,184,24.951225650928738,0.011264071488165429,0.02160615873174073,0.01590411885135504,274284
17,274284,273503,187,383,211,24.950197165113646,0.01225934364068648,0.021221097802926206,0.016322393442739787,274284
18,274284,273451,186,407,240,24.94794364288577,0.011196275045437938,0.02205770816760232,0.018802373901186935,274284
19,274284,273398,187,430,269,24.940863195631554,0.011253489494092361,0.026667004531194603,0.021216310343160315,274284
20,274284,273359,179,444,302,24.93686184506024,0.01004486406661463,0.0293886296245772,0.02370466124856853,274284
21,274284,273313,187,448,336,24.937369495494334,0.013625371055755772,0.029428527573213827,0.019576605876696,274284
22,274284,273250,215,460,359,24.93537254553157,0.014893010286199862,0.028109423142001964,0.021625021040225383,274284
23,274284,273194,218,475,397,24.929771973015214,0.01736098314287393,0.027674624187266815,0.025192419654644017,274284
24,274284,273136,227,493,428,24.93623483542238,0.009626525230399953,0.02792232270151633,0.026216316645705135,274284
25,274284,273077,231,516,460,24.925115056607996,0.009690067987742865,0.03296820139360779,0.032226674010654245,274284
26,274284,273031,225,531,497,24.914392546108186,0.010127262203971532,0.04141075132559564,0.034069440362247544,274284
27,274284,272964,249,533,538,24.916435512538605,0.01197551945925035,0.030697845641979794,0.04089112236016409,274284
28,274284,272905,248,559,572,24.909080155241792,0.011025009622016814,0.03613664533768425,0.043758189798507145,274284
29,274284,272849,251,570,614,24.905414922029077,0.013285107550454993,0.03220905039054324,0.04909092002992565,274284
30,274284,272781,269,582,652,24.901823659367196,0.011450638073861076,0.0368393631021571,0.04988633945678656,274284
31,274284,272735,251,598,700,24.89533951987649,0.014368539294810958,0.03972487382019075,0.050567067008509464,274284
32,274284,272671,261,615,737,24.88660434577102,0.014830091563141882,0.04275024543293565,0.05581531723290313,274284
33,274284,272617,265,616,786,24.879475909103107,0.015722145240506975,0.04679132889969711,0.058010616756689865,274284
34,274284,272555,262,629,838,24.8811711946869,0.014272795885535705,0.04683464348403453,0.05772136594353115,274284
35,274284,272493,268,647,876,24.87791400299207,0.016285284408041473,0.045521561629290976,0.0602791509705981,274284
36,274284,272449,253,658,924,24.87579826803411,0.013620567407217631,0.051279016919907286,0.059302147638765,274284
37,274284,272399,239,673,973,24.87137079228823,0.01506570562014123,0.05136203872889348,0.06220146336273651,274284
38,274284,272341,247,689,1007,24.854533305929866,0.01368304207538289,0.05299044866897203,0.07879320332577872,274284
39,274284,272279,260,700,1045,24.854347977835012,0.013339316177772446,0.04538985062290257,0.08692285536431411,274284
40,274284,272225,272,694,1093,24.847935045551164,0.017038299741072332,0.04774638234589629,0.08728027236186618,274284
41,274284,272173,273,701,1137,24.849329124851288,0.01887828361301286,0.039955443579300066,0.09183714795639954,274284
42,274284,272101,289,711,1183,24.84725397937518,0.01917250170338409,0.03876381053579041,0.09480970838564635,274284
43,274284,272037,289,726,1232,24.848113622049333,0.019188089921315217,0.040563194890206974,0.09213509313914403,274284
44,274284,271983,284,732,1285,24.837702691316544,0.02035870995096183,0.049222941395817836,0.09271565733667544,274284
45,274284,271941,273,743,1327,24.82348901437051,0.023151533936499456,0.05434652354397679,0.09901292814901691,274284
46,274284,271872,287,760,1365,24.818067282920065,0.025724513508250443,0.05469507645719736,0.10151312711448635,274284
47,274284,271803,301,771,1409,24.81170763427999,0.028287456011542325,0.05142598346502029,0.1085789262434484,274284
48,274284,271736,306,777,1465,24.806962222821973,0.02521693298048515,0.05742498871610763,0.11039585548143502,274284
49,274284,271667,306,793,1518,24.798311293503648,0.022011358892123058,0.061015624168874634,0.11866172343535235,274284
50,274284,271594,307,804,1579,24.791262713197895,0.01782971577959298,0.06531496368407261,0.12559260733843983,274284
51,274284,271525,306,819,1634,24.782892413663816,0.014092864601069188,0.06767440951451709,0.1353403122205952,274284
52,274284,271469,305,832,1678,24.78611826994192,0.01194267718974288,0.06884421202427077,0.13309484084406764,274284
53,274284,271401,314,836,1733,24.780372211020516,0.012159263738273623,0.06388472021618517,0.14358380502502485,274284
54,274284,271356,293,863,1772,24.779959202696986,0.015003692055777042,0.06567437547039101,0.139362729776845,274284
55,274284,271287,293,862,1842,24.765339843188517,0.01229824203126888,0.06955029714200901,0.15281161763820425,274284
56,274284,271222,284,878,1900,24.76149663535716,0.010493113856967842,0.0637202080889542,0.16429004269691472,274284
57,274284,271150,299,870,1965,24.746991414798877,0.017935449725659847,0.06187351263413474,0.17319962284132617,274284
58,274284,271082,307,865,2030,24.745494824386263,0.021642387047260125,0.05199605743932426,0.1808667311271527,274284
59,274284,271012,326,871,2075,24.731169154179998,0.017589277981890708,0.05888960194768306,0.1923519658904268,274284
60,274284,270943,330,859,2152,24.72576553746752,0.016678923298566625,0.06186536131296349,0.1956901779209505,274284
61,274284,270882,313,878,2211,24.722259330676597,0.015601824729135018,0.06738710287321913,0.1947517417210503,274284
62,274284,270802,331,871,2280,24.71753955966865,0.01636021018066217,0.06659477046458838,0.19950545968609656,274284
63,274284,270724,329,891,2340,24.71646501011842,0.018024280367791422,0.06773241035574441,0.1977782991580439,274284
64,274284,270653,336,888,2407,24.71005720739261,0.01582425376860447,0.0676022339850646,0.2065163048537232,274284
65,274284,270598,319,905,2462,24.711177938535755,0.017338450155553967,0.06172714412792498,0.20975646718076507,274284
66,274284,270527,313,907,2537,24.700887603366677,0.024771085067917167,0.06315669430091549,0.2111846172644902,274284
67,274284,270453,311,908,2612,24.698720045392342,0.025294649499519078,0.060402432475892644,0.215582872632245,274284
68,274284,270399,318,883,2684,24.6928633324613,0.02517452147622767,0.06549321379459504,0.21646893226787645,274284
69,274284,270346,301,890,2747,24.678504729236664,0.02591089473617712,0.062105850114004504,0.23347852591315452,274284
70,274284,270287,298,886,2813,24.67736704250446,0.026901933031538518,0.062299115536409135,0.23343190892759183,274284
71,274284,270211,304,900,2869,24.667261780234394,0.02304941216406964,0.06815049873682823,0.2415383088647088,274284
72,274284,270155,274,920,2935,24.664111140677925,0.018614460752324983,0.07073042040836489,0.246543978161387,274284
73,274284,270088,292,920,2984,24.654642149154622,0.01951352592679405,0.06460612014763338,0.26123820477094983,274284
74,274284,270007,325,905,3047,24.646364826170124,0.02148715382315368,0.05885550026676787,0.2732925197399526,274284
75,274284,269954,297,913,3120,24.638020923780815,0.01966578471763788,0.0625861934129149,0.27972709808863444,274284
76,274284,269891,306,910,3177,24.6280819228296,0.018550614108227757,0.06795557521278425,0.2854118878493886,274284
77,274284,269819,317,911,3237,24.61587109128988,0.017200922064222406,0.06631319759730749,0.3006147890485894,274284
78,274284,269735,348,900,3301,24.61190936629386,0.017514525687466868,0.06593124948756444,0.3046448585311081,274284
79,274284,269680,333,908,3363,24.618141511629563,0.019691715806891493,0.06526851761639238,0.29689825494715244,274284
80,274284,269605,332,925,3422,24.617084594078282,0.020226688119187618,0.06341904918189493,0.2992696686206373,274284
81,274284,269542,340,911,3491,24.604794161533107,0.022526632733562518,0.06333163304276679,0.3093475726905656,274284
82,274284,269476,336,920,3552,24.59951649422582,0.02400442638362214,0.0655373871297246,0.31094169226083357,274284
83,274284,269405,331,933,3615,24.59392933815728,0.021800616321374533,0.06764417476896845,0.31662587075237597,274284
84,274284,269336,342,924,3682,24.590776669240057,0.021357871980220492,0.06763550768038883,0.3202299510993325,274284
85,274284,269266,347,926,3745,24.581670043740345,0.028037698018106558,0.06718024657226683,0.3231120116692822,274284
86,274284,269201,335,933,3815,24.560288302392703,0.028020947414638266,0.0759209403128211,0.33576980987983784,274284
87,274284,269125,332,951,3876,24.55186564347413,0.025603978200469984,0.07281435416289095,0.34971602416251013,274284
