Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274250,24,10,0,24.999772984900584,0.00012514404601129424,0.00010187105340609513,0.0,274284
2,274284,274214,40,29,1,24.999559487587124,0.0002840823553624765,0.00015121572226364723,5.214335250470594e-06,274284
3,274284,274189,56,35,4,24.99932967380406,0.00039145817582913166,0.00025801067911012353,2.0857341001882375e-05,274284
4,274284,274152,73,52,7,24.998610820070912,0.000868557757633188,0.0004841218247031843,3.6500346753294155e-05,274284
5,274284,274100,102,69,13,24.994581248935194,0.0016280929118171821,0.0020302932607143905,0.0017603648922755962,274284
6,274284,274055,124,85,20,24.993845760180907,0.0021559122099074303,0.0022014623701555915,0.0017968652390288904,274284
7,274284,274013,127,115,29,24.992003633220172,0.00314272894407153,0.004441749716489707,0.00041188811926523724,274284
8,274284,273957,162,128,37,24.988280700213224,0.0056787683408830135,0.00544946119828835,0.0005910702476040627,274284
9,274284,273884,190,167,43,24.986858416852566,0.00705272553534928,0.005416773652077246,0.0006720839600082754,274284
10,274284,273849,186,193,56,24.982065956588,0.009531849618655407,0.007487359127936411,0.0009148346654108243,274284
11,274284,273810,188,216,70,24.97937223059275,0.010149813277959416,0.009189919776981362,0.0012880363523088856,274284
12,274284,273769,197,230,88,24.97357481201556,0.008775241341040484,0.013819385495682962,0.003830561147717384,274284
13,274284,273735,200,245,104,24.970575688835304,0.006626388685243176,0.01642756248208281,0.006370359997370077,274284
14,274284,273692,201,277,114,24.97142737237483,0.0069665185349273365,0.015615886803180863,0.005990222287063004,274284
15,274284,273641,211,302,130,24.967927223489763,0.009940324786866434,0.014719136527975312,0.00741331519539678,274284
16,274284,273591,211,334,148,24.968367902141214,0.009768087944241685,0.015312361643206117,0.006551648271338967,274284
17,274284,273539,217,362,166,24.96790163464347,0.009288847598021231,0.015437272800022868,0.007372244958485159,274284
18,274284,273504,204,382,194,24.96596302314866,0.009618707857803792,0.01612158884156481,0.008296680151971762,274284
19,274284,273453,206,400,225,24.962093196433614,0.008888199622642678,0.018700546967258348,0.01031805697648694,274284
20,274284,273409,208,423,244,24.958426129486572,0.008535040654692266,0.02341462602811163,0.009624203830623583,274284
21,274284,273371,203,430,280,24.95180677414142,0.011300497075194272,0.024942825407506367,0.011949903375877854,274284
22,274284,273312,209,452,311,24.948451100657987,0.008678661948892693,0.02626891289852719,0.016601324494593818,274284
23,274284,273265,204,468,347,24.939608811612906,0.011154386589268166,0.03025927553593051,0.018977526261893113,274284
24,274284,273209,211,485,379,24.933897280873484,0.013779466304741103,0.025916592863598355,0.026406659958176298,274284
25,274284,273149,214,512,409,24.92782551697483,0.01370444445914379,0.03140809830959865,0.027061940256427334,274284
26,274284,273098,218,526,442,24.927687886355614,0.013337447650062405,0.029758377455205594,0.029216288539117424,274284
27,274284,273037,232,529,486,24.919091231472173,0.013871187077217342,0.03573086790361747,0.03130671354699232,274284
28,274284,272988,228,546,522,24.915351542323403,0.009077512476765963,0.039913361749332944,0.03565758345049741,274284
29,274284,272926,226,575,557,24.90826122227017,0.008765444461837878,0.04111646789333278,0.04185686537465875,274284
30,274284,272860,241,589,594,24.896309132540672,0.015832109889254122,0.044415113723666064,0.043443643846406046,274284
31,274284,272801,252,596,635,24.89531540158081,0.013158699239469744,0.04765417955445814,0.04387171962526356,274284
32,274284,272739,267,599,679,24.892374494463752,0.015244262542379778,0.04239596202108404,0.04998528097278363,274284
33,274284,272665,273,625,721,24.88049603350295,0.019214163414807323,0.04411288295371671,0.05617692012852634,274284
34,274284,272597,266,658,763,24.890397713962,0.01502091799756723,0.04032890610471425,0.054252461935720975,274284
35,274284,272536,287,664,797,24.883575946697437,0.017804741433050834,0.04138732979773238,0.05723198207178022,274284
36,274284,272466,298,683,837,24.87768780850174,0.01961704830852137,0.04029240444428627,0.06240273874545156,274284
37,274284,272405,301,700,878,24.86765219200124,0.02187916073205321,0.04023447081555242,0.07023417645115415,274284
38,274284,272334,304,731,915,24.86302369064459,0.021431638848826807,0.0480633248816071,0.0674813456249758,274284
39,274284,272261,316,742,965,24.85395112665021,0.02225431185795546,0.05032643935725891,0.07346812213457588,274284
40,274284,272191,317,757,1019,24.850276686511076,0.020300866442050754,0.053051722358474884,0.07637072468839773,274284
41,274284,272130,301,769,1084,24.837911652800955,0.01817643287496031,0.06081303902532126,0.08309887529876417,274284
42,274284,272048,317,775,1144,24.82882917445472,0.021720086607912942,0.05859124893913467,0.09085948999823144,274284
43,274284,271980,322,783,1199,24.815742035981998,0.02296743750464626,0.0626011516835354,0.09868937482982168,274284
