Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304517,55,7,0,23.995408906400158,0.004121426204643757,0.00046966739519660586,0.0,304579
2,304579,304464,95,20,0,23.991546642632116,0.007076131307150366,0.0013772260607339036,0.0,304579
3,304579,304415,117,46,1,23.987562952005153,0.008924919503903788,0.003342060463732493,0.00017006802721088434,304579
4,304579,304357,143,73,6,23.983746779377903,0.010643188185563549,0.004970086690827578,0.0006399457457067889,304579
5,304579,304296,174,96,13,23.97864302483706,0.013933470878359139,0.006318309383484626,0.0011051949010988844,304579
6,304579,304248,183,132,16,23.97416568463793,0.014892080249163116,0.009340929582826518,0.0016013055300803398,304579
7,304579,304190,188,174,27,23.96846987004763,0.015035113765852835,0.013910706173230234,0.002584310013286993,304579
8,304579,304126,201,215,37,23.9637857252803,0.015737952403030275,0.017280433961475317,0.003195888355196225,304579
9,304579,304051,225,248,55,23.95589641293784,0.0173010921466884,0.021647543441005737,0.005154951474467777,304579
10,304579,303971,245,291,72,23.9499860017042,0.020029728153449552,0.02369030918529303,0.006293960957058195,304579
11,304579,303911,244,333,91,23.944670563119455,0.020061761816973295,0.026782567347083775,0.008485107716487387,304579
12,304579,303839,250,380,110,23.93802371094076,0.021603614029062405,0.030868698551343422,0.009503976478833505,304579
13,304579,303762,259,433,125,23.93119377486601,0.0225967898656644,0.0355461502432761,0.01066328502504954,304579
14,304579,303671,290,461,157,23.92288240882575,0.02445790621586694,0.039098392316800075,0.013561292641583561,304579
15,304579,303585,320,490,184,23.914071398858326,0.026952418148483516,0.04291086164428403,0.016065321348906134,304579
16,304579,303498,338,533,210,23.905101878371514,0.02883318827789025,0.04707746186595096,0.018987471484645246,304579
17,304579,303399,356,571,253,23.89877412868388,0.029250066460252123,0.04845371307351872,0.02352209178234886,304579
18,304579,303282,390,619,288,23.88792193446183,0.03367566232908451,0.05169746890150533,0.026704934307581137,304579
19,304579,303179,420,645,335,23.87926323164941,0.03495717497726491,0.05592468908544996,0.029854904287876044,304579
20,304579,303088,435,676,380,23.87110687501392,0.03646008098805712,0.05797135828474914,0.034461685713274966,304579
21,304579,302996,448,725,410,23.85882067978726,0.03856155061088171,0.06374927096192524,0.03886849863993144,304579
22,304579,302885,453,796,445,23.850657641924744,0.03965386492941133,0.06884946188482265,0.04083903126102085,304579
23,304579,302778,469,837,495,23.840834378258943,0.040900743766162144,0.07282889738605178,0.04543598058884284,304579
24,304579,302669,500,870,540,23.83244143640985,0.041817011956057124,0.07699236010591748,0.048749191528172364,304579
25,304579,302560,489,918,612,23.823224915961823,0.039609735115977436,0.08063581787426155,0.05652953104793648,304579
26,304579,302451,505,944,679,23.817413739464822,0.03965664076682828,0.08305863625421075,0.05987098351413727,304579
27,304579,302330,540,954,755,23.803758277608445,0.04358614103766046,0.08344392026879886,0.06921166108509576,304579
28,304579,302220,534,1000,825,23.795254507914258,0.04340533040729454,0.08651152303950103,0.07482863863894414,304579
29,304579,302092,553,1032,902,23.783981773812435,0.04510524450405689,0.0897304955114621,0.08118248617204421,304579
30,304579,302050,475,1074,980,23.780503594456288,0.03928401576861886,0.09225624591537428,0.08795614385972071,304579
31,304579,302003,429,1087,1060,23.77582165553419,0.036278174146510855,0.09176295063917696,0.09613721968012282,304579
32,304579,301958,384,1096,1141,23.771376073287108,0.03333181014144636,0.09199951106869293,0.1032926055027542,304579
33,304579,301911,358,1090,1220,23.767854291952577,0.03124515165556191,0.09063599254454921,0.11026456384731255,304579
34,304579,301876,320,1088,1295,23.764545261481842,0.027934132997834444,0.09159293139138466,0.11592767412893831,304579
35,304579,301829,314,1062,1374,23.761060809099003,0.026911702719315332,0.0898521897584922,0.12217529842318804,304579
36,304579,301789,289,1061,1440,23.758065491825533,0.024544629167228098,0.08810045389831815,0.1292894251089192,304579
37,304579,301750,276,1030,1523,23.75515593561378,0.02318306059758255,0.08546194485609904,0.13619905893254072,304579
38,304579,301692,277,1016,1594,23.748993750362263,0.024394663030896577,0.083461297441409,0.14315028916543276,304579
39,304579,301645,260,1003,1671,23.745408405946947,0.021243554566051138,0.08475435283956954,0.14859368664743391,304579
40,304579,301601,254,972,1752,23.74173857423952,0.021156541278268,0.08267891542617972,0.15442596905603356,304579
41,304579,301567,225,963,1824,23.738880547219225,0.019095385884836936,0.08167663104468496,0.16034743585125502,304579
42,304579,301539,200,951,1889,23.736699744543852,0.016622924077903698,0.07936779588008266,0.1673095354981621,304579
43,304579,301487,214,925,1953,23.73357264954285,0.01616385016324117,0.07765547248802784,0.1726080278058801,304579
44,304579,301454,219,880,2026,23.731651885621645,0.015125692238531668,0.07437217200595043,0.17885025013387273,304579
45,304579,301416,212,853,2098,23.728637546217886,0.0152753562032091,0.07221185542666085,0.1838752421522452,304579
46,304579,301387,205,826,2161,23.725622618650018,0.015335702691587412,0.06967813958918445,0.18936353906921177,304579
47,304579,301346,207,797,2229,23.722632453757512,0.015103650325623223,0.06780949000107636,0.19445440591578647,304579
48,304579,301319,192,782,2286,23.72052173767565,0.014359256064387243,0.06483488450050301,0.20028412175945975,304579
49,304579,301292,178,774,2335,23.7183864143037,0.013435342380463858,0.06499548740592064,0.20318275590991447,304579
50,304579,301269,157,763,2390,23.716500658421843,0.012144898874568644,0.06329564596333373,0.20805879674025385,304579
51,304579,301227,172,727,2453,23.71287392076128,0.01350618885113164,0.06061731502380186,0.2130025753637877,304579
52,304579,301198,163,716,2502,23.710133538475347,0.01364698204538771,0.058916302745803985,0.21730317673346,304579
53,304579,301165,172,680,2562,23.70727736841647,0.013794806418525514,0.05746023380583743,0.2214675913591683,304579
54,304579,301144,150,673,2612,23.705733007222932,0.011897390236580313,0.055761849680985326,0.22660775285950419,304579
55,304579,301123,131,661,2664,23.703550574706036,0.010781356521803467,0.054979934998557356,0.23068813377360436,304579
56,304579,301093,139,635,2712,23.70086744836121,0.011517207996288971,0.052214795093715044,0.2354005485487872,304579
57,304579,301069,135,625,2750,23.699064032977983,0.011083375204347339,0.05136011605048529,0.23849247576718527,304579
58,304579,301048,134,600,2797,23.697677867409965,0.010723880819041347,0.04954308940730788,0.2420551623636862,304579
59,304579,301022,129,576,2852,23.695423886606232,0.01050574178903184,0.04827409135631598,0.24579628024842182,304579
60,304579,300998,124,572,2885,23.69304653512352,0.01002447660744655,0.04886479256800543,0.24806419570102484,304579
61,304579,300978,105,576,2920,23.69106890412815,0.008512055437519307,0.04864941188527759,0.2517696285490516,304579
62,304579,300957,109,560,2953,23.688621378815547,0.009156482761405066,0.04859524828160219,0.2536268901414448,304579
63,304579,300940,104,544,2991,23.687110503734456,0.009415176984370421,0.04601003825727705,0.2574642810238981,304579
64,304579,300920,105,521,3033,23.685243254771745,0.009976113721568296,0.04296492818466857,0.26181570332201787,304579
65,304579,300905,105,494,3075,23.683989945091295,0.009921289175782848,0.04060899280300285,0.26547977292991837,304579
66,304579,300877,111,484,3107,23.68155305083863,0.01042127071287872,0.0401945625434407,0.26783111590504977,304579
67,304579,300860,115,469,3135,23.679998296046588,0.011119507459591343,0.03847206380250733,0.27041013269131253,304579
68,304579,300840,118,451,3170,23.67799923870265,0.012003888625483817,0.037255487928393616,0.27274138474347354,304579
69,304579,300825,106,446,3202,23.67640066858828,0.011258297497713824,0.03739174710711353,0.2749492868068922,304579
70,304579,300808,104,429,3238,23.675032783298857,0.010438553465605897,0.03749359187768839,0.2770350713578491,304579
71,304579,300791,93,426,3269,23.67258295272799,0.010527967097553952,0.03724414507322123,0.27964493510123595,304579
72,304579,300776,95,425,3283,23.671760809618164,0.010068941905059593,0.036891540946557055,0.2812787075302214,304579
73,304579,300756,91,415,3317,23.66997153044718,0.009579045865124253,0.036629950936932214,0.2838194727507633,304579
74,304579,300746,77,415,3341,23.668644946309936,0.008716595462814983,0.03704779313775334,0.28559066508949593,304579
75,304579,300731,74,401,3373,23.667479896541273,0.007588371653629629,0.036258119024787275,0.28867361278030956,304579
76,304579,300711,83,380,3405,23.66606273617911,0.007702829468140972,0.0347730101758159,0.29146142417693327,304579
77,304579,300690,82,374,3433,23.664333439393594,0.007729901294275944,0.033970977387170254,0.2939656819249584,304579
78,304579,300676,83,355,3465,23.66350574121714,0.00720466407147518,0.03216486056759292,0.2971247341437909,304579
79,304579,300666,75,341,3497,23.66225911716186,0.006845150806569106,0.030600122235944247,0.30029560979562797,304579
80,304579,300652,76,330,3521,23.66094727813857,0.007278925623384877,0.029131268422466983,0.30264252781557965,304579
81,304579,300642,73,322,3542,23.65991620840183,0.006341546882645292,0.029293312809121785,0.30444893190640177,304579
82,304579,300630,71,309,3569,23.658935191176738,0.006236235257846573,0.027887170486293893,0.3069414030791199,304579
83,304579,300619,69,300,3591,23.658248967112215,0.005703691079738509,0.02673788085756307,0.3093094609504854,304579
84,304579,300605,73,289,3612,23.65730291900388,0.006068624404296382,0.025426657422714348,0.31120179916911184,304579
85,304579,300586,82,271,3640,23.655079698660806,0.007765055131984981,0.023699988347414228,0.31345525785979433,304579
86,304579,300577,66,285,3651,23.65400287158708,0.006357783040735683,0.025306633902075486,0.3143327114701111,304579
87,304579,300563,71,274,3671,23.65306737481927,0.00637115047659875,0.024210374790072167,0.31635109991406085,304579
88,304579,300554,60,279,3686,23.652347071657935,0.005565142555719335,0.02478894502682805,0.3172988407595166,304579
89,304579,300546,56,266,3711,23.65161757963677,0.005327440820881246,0.023683221582260678,0.3193717579600875,304579
90,304579,300537,43,272,3727,23.65082626506414,0.003391723852462028,0.025018539066392908,0.3207634720170063,304579
91,304579,300528,45,252,3754,23.65006442384068,0.003598700794153672,0.02326842774899085,0.3230684476161777,304579
92,304579,300514,53,235,3777,23.648760409487913,0.004185846233740764,0.0216910325586848,0.325362711719661,304579
93,304579,300505,45,233,3796,23.647919376320136,0.0040862876446741605,0.021013191272493834,0.32698114476269496,304579
94,304579,300492,52,225,3810,23.646460217627823,0.00526338592515801,0.01982817014842643,0.32844822629859466,304579
