Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304520,45,14,0,23.99600852499643,0.0030254890150259225,0.0009659859885433318,0.0,304579
2,304579,304457,91,31,0,23.99095204434952,0.006937089825175526,0.002110865825303008,0.0,304579
3,304579,304401,115,60,3,23.98519033863666,0.009820600885070519,0.004831186570683938,0.00015787390758617285,304579
4,304579,304335,140,99,5,23.9803142553757,0.011291168443212247,0.007842035605146201,0.0005525405759432744,304579
5,304579,304271,177,117,14,23.974900734842272,0.014237902519057821,0.009558133550647935,0.0013032290880226462,304579
6,304579,304202,194,160,23,23.96854185086671,0.01574105795333128,0.013735906768532364,0.001981184411426851,304579
7,304579,304136,204,210,29,23.96373542108199,0.01600319843070975,0.0179489246452521,0.0023124558420492603,304579
8,304579,304063,222,251,43,23.95753279499818,0.01745736167773484,0.021661024663404187,0.0033488186606796585,304579
9,304579,304004,225,289,61,23.95035324087148,0.019234386666859334,0.025848825360128985,0.004563547101533546,304579
10,304579,303935,252,319,73,23.945907611421372,0.020478352245924127,0.02728845636936969,0.006325579963335212,304579
11,304579,303857,271,346,105,23.941407032313982,0.021295477093541234,0.027889607163735244,0.009407883428741874,304579
12,304579,303777,285,386,131,23.93591482626852,0.022558943301988252,0.030216895721107476,0.011309334708384616,304579
13,304579,303695,290,431,163,23.929695661566406,0.02268042046979294,0.03484539125281897,0.012778526710982693,304579
14,304579,303607,330,452,190,23.922637612499695,0.02483039293377494,0.036911145927289446,0.01562084863923909,304579
15,304579,303521,337,500,221,23.914701806508358,0.02652973352688971,0.04006121662418872,0.018707243340562896,304579
16,304579,303431,355,536,257,23.90771866929795,0.027885640110451467,0.04413708549964859,0.02025860509195073,304579
17,304579,303338,364,582,295,23.899507807990307,0.028131928268909055,0.0472348460392464,0.02512541770153566,304579
18,304579,303247,389,620,323,23.89131419027321,0.029931938090720214,0.05172037358085708,0.027033498055211977,304579
19,304579,303144,404,651,380,23.881078540085657,0.030498784692281605,0.055772480231199593,0.032650194990863066,304579
20,304579,303049,406,706,418,23.87043788790005,0.03150994564949327,0.06038856002105417,0.037663606429401496,304579
21,304579,302964,397,756,462,23.85829090026306,0.033929949807100734,0.0658103608145306,0.04196878911530788,304579
22,304579,302870,417,767,525,23.85402279837451,0.03458883325920354,0.06531554715109969,0.04607282121518849,304579
23,304579,302768,433,790,588,23.84272368269622,0.03773058186376795,0.06620220535506108,0.0533435300849494,304579
24,304579,302661,447,836,635,23.832977256621536,0.038769522155007695,0.07212067173280165,0.05613254949065544,304579
25,304579,302568,466,842,703,23.823851975204047,0.03994170683895844,0.07223134874339084,0.06397496921360502,304579
26,304579,302450,484,888,757,23.81453724572051,0.040596292654538874,0.07790385763760112,0.06696260398735052,304579
27,304579,302329,498,926,826,23.807811499637832,0.0421847479003814,0.07905749390670411,0.07094625855508067,304579
28,304579,302216,497,973,893,23.797451036647935,0.04213565702861233,0.08449299321182549,0.0759203131116274,304579
29,304579,302104,505,1012,958,23.789604667124834,0.041111470940786786,0.08637295864361451,0.08291090329076607,304579
30,304579,302039,478,1031,1031,23.78305004039458,0.03960305210766092,0.08677582847311742,0.0905710790246414,304579
31,304579,301956,463,1069,1091,23.773446635828552,0.039061129972234994,0.08895312257160379,0.09853911162760855,304579
32,304579,301861,469,1077,1172,23.765470019087847,0.04067416813120719,0.08982405358127518,0.1040317591996702,304579
33,304579,301775,441,1113,1250,23.754907335350392,0.03639182843320823,0.09727041300920314,0.11143042320719677,304579
34,304579,301678,452,1122,1327,23.745661974802378,0.03710999204887529,0.09800518726167,0.1192228458870768,304579
35,304579,301571,478,1127,1403,23.73472670009627,0.03961138347876771,0.09843225763549092,0.12722965878946946,304579
36,304579,301485,476,1132,1486,23.73057935485339,0.03928642289744276,0.09699538110558151,0.13313884114358732,304579
37,304579,301405,456,1152,1566,23.72243005354762,0.03662774647232664,0.09763573265929716,0.14330646732075872,304579
38,304579,301319,442,1150,1668,23.71461234717961,0.03669269291299576,0.0926942001932324,0.156000759714162,304579
