Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304524,45,10,0,23.996029592219063,0.003300691664554016,0.0006697161163829629,0.0,304579
2,304579,304455,93,29,2,23.99017684087601,0.007301419906088613,0.0024574521462910064,6.428707160866495e-05,304579
3,304579,304387,137,53,2,23.98437225469202,0.011058676685924576,0.004500136190346356,6.893243170924483e-05,304579
4,304579,304327,155,89,8,23.97996438943809,0.01210539139611427,0.0072468625701781145,0.00068335659561576,304579
5,304579,304261,192,113,13,23.97385467975532,0.015318657908928762,0.009687945847088889,0.0011387164886608651,304579
6,304579,304201,211,150,17,23.96772173703315,0.017366890270364074,0.013375915769407892,0.0015354569270788613,304579
7,304579,304133,237,175,34,23.963092824817622,0.018825010176137736,0.014666907079990717,0.0034152579262512225,304579
8,304579,304071,249,216,43,23.955328166059186,0.02132682002084642,0.01867101657697996,0.004673997342989384,304579
9,304579,304017,258,252,52,23.952528342930904,0.020770137234804274,0.0214136731515021,0.005287846682790053,304579
10,304579,303943,280,295,61,23.945056670067334,0.023434718670837584,0.025342391771206563,0.006166219490620278,304579
11,304579,303875,293,337,74,23.938331598542792,0.024912634492862594,0.02943400493404349,0.007321762030303139,304579
12,304579,303784,325,373,97,23.930124684194347,0.02729956509209528,0.03417801690974321,0.008397733803815198,304579
13,304579,303711,343,411,114,23.925696181436418,0.02928777308861673,0.035634643808302106,0.009381401666662464,304579
14,304579,303627,364,443,145,23.917701538435225,0.032299697770837736,0.037744068971358506,0.012254694822581118,304579
15,304579,303552,374,470,183,23.910062658635365,0.03297963128840232,0.04136377328617443,0.015593936790056875,304579
16,304579,303464,404,505,206,23.902269086901292,0.036080147030617245,0.042887793690684343,0.01876297237740567,304579
17,304579,303362,433,544,240,23.894408698715115,0.03716214544982618,0.04707646118512236,0.021352694649937838,304579
18,304579,303273,463,561,282,23.885340569911033,0.04122967279364545,0.04850124628956164,0.02492851100575986,304579
19,304579,303176,483,601,319,23.87880809635392,0.041798767792300254,0.05293820869530709,0.02645492715847268,304579
