Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
2,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
3,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
4,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
5,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
6,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
7,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
8,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
9,304579,304579.0,0,0,0.0,24.0,0.0,0.0,0.0,304579.0
10,304579,304274.421,0,0,304.579,23.976691467960535,0.0,0.0,0.02330853203946667,304579.0
11,304579,303970.146579,0,0,608.853421,23.950887735268342,0.0,0.0,0.04911226473165797,304579.0
12,304579,303666.17643242097,0,0,912.823567579,23.924463928483394,0.0,0.0,0.07553607151660605,304578.99999999994
13,304579,303362.51025598857,0,0,1216.489744011421,23.898720761549246,0.0,0.0,0.10127923845075393,304579.0
14,304579,303059.14774573257,0,0,1519.8522542674095,23.87667173389111,0.0,0.0,0.12332826610888957,304579.0
15,304579,302756.08859798685,0,0,1822.9114020131422,23.84821063862568,0.0,0.0,0.1517893613743197,304579.0
16,304579,302453.33250938886,0,0,2125.667490611129,23.82853476542434,0.0,0.0,0.17146523457566037,304579.0
17,304579,302150.8791768795,0,0,2428.120823120518,23.803215258599188,0.0,0.0,0.19678474140081192,304579.0
18,304579,301848.7282977026,0,0,2730.2717022973975,23.77868542401715,0.0,0.0,0.22131457598284832,304579.0
19,304579,301546.8795694049,0,0,3032.1204305951,23.760031280209613,0.0,0.0,0.23996871979038617,304579.0
20,304579,301245.33268983546,0,0,3333.6673101645047,23.737135020763077,0.0,0.0,0.2628649792369238,304578.99999999994
21,304579,300944.0873571456,0,0,3634.9126428543404,23.716250556532103,0.0,0.0,0.28374944346789865,304578.99999999994
22,304579,300643.14326978853,0,0,3935.856730211486,23.689716830250845,0.0,0.0,0.3102831697491541,304579.0
23,304579,300342.5001265187,0,0,4236.499873481274,23.6673679612985,0.0,0.0,0.33263203870150054,304579.0
24,304579,300042.1576263922,0,0,4536.842373607793,23.64040014831002,0.0,0.0,0.35959985168997927,304579.0
25,304579,299742.1154687658,0,0,4836.8845312341855,23.616360595409972,0.0,0.0,0.3836394045900276,304578.99999999994
26,304579,299442.373353297,0,0,5136.626646702952,23.590721512464558,0.0,0.0,0.40927848753544394,304578.99999999994
27,304579,299142.9309799437,0,0,5436.0690200562485,23.56518939303782,0.0,0.0,0.43481060696218027,304578.99999999994
28,304579,298843.7880489638,0,0,5735.211951036192,23.546831403598794,0.0,0.0,0.45316859640120444,304579.0
29,304579,298544.9442609148,0,0,6034.055739085156,23.522494235665867,0.0,0.0,0.47750576433413466,304578.99999999994
30,304579,298246.39931665396,0,0,6332.600683346071,23.50370883784655,0.0,0.0,0.4962911621534521,304579.0
31,304579,297948.15291733725,0,0,6630.847082662725,23.483117598727336,0.0,0.0,0.5168824012726653,304579.0
32,304579,297650.20476441993,0,0,6928.795235580063,23.458254558565535,0.0,0.0,0.5417454414344669,304579.0
33,304579,297352.5545596555,0,0,7226.445440344482,23.430680500488958,0.0,0.0,0.5693194995110441,304578.99999999994
34,304579,297055.20200509584,0,0,7523.797994904138,23.403969978346055,0.0,0.0,0.5960300216539463,304579.0
35,304579,296758.14680309076,0,0,7820.853196909234,23.382567987819797,0.0,0.0,0.6174320121802044,304579.0
36,304579,296461.3886562877,0,0,8117.611343712325,23.355696509286336,0.0,0.0,0.6443034907136648,304579.0
37,304579,296164.92726763134,0,0,8414.072732368611,23.33492929706173,0.0,0.0,0.6650707029382704,304578.99999999994
38,304579,295868.76234036376,0,0,8710.237659636243,23.316274206574825,0.0,0.0,0.6837257934251778,304579.0
39,304579,295572.89357802336,0,0,9006.106421976607,23.28742016764902,0.0,0.0,0.7125798323509815,304578.99999999994
40,304579,295277.3206844454,0,0,9301.679315554631,23.268232732102774,0.0,0.0,0.731767267897227,304579.0
41,304579,294982.04336376087,0,0,9596.956636239076,23.249949183858035,0.0,0.0,0.7500508161419632,304578.99999999994
42,304579,294687.06132039713,0,0,9891.938679602838,23.21592837149002,0.0,0.0,0.784071628509981,304578.99999999994
43,304579,294392.3742590767,0,0,10186.625740923235,23.199850376470092,0.0,0.0,0.8001496235299083,304578.99999999994
44,304579,294097.98188481765,0,0,10481.01811518231,23.17766294389659,0.0,0.0,0.8223370561034103,304578.99999999994
45,304579,293803.88390293287,0,0,10775.116097067128,23.151137445323645,0.0,0.0,0.8488625546763537,304579.0
46,304579,293510.0800190299,0,0,11068.91998097006,23.12754030121264,0.0,0.0,0.872459698787358,304578.99999999994
47,304579,293216.5699390109,0,0,11362.43006098909,23.105582156912455,0.0,0.0,0.8944178430875451,304579.0
48,304579,292923.35336907185,0,0,11655.646630928102,23.079826367799594,0.0,0.0,0.9201736322004054,304578.99999999994
49,304579,292630.4300157028,0,0,11948.569984297174,23.057794942763433,0.0,0.0,0.9422050572365657,304578.99999999994
50,304579,292337.79958568705,0,0,12241.200414312876,23.03193005958061,0.0,0.0,0.9680699404193877,304578.99999999994
51,304579,292045.4617861014,0,0,12533.538213898562,23.003840333716045,0.0,0.0,0.9961596662839528,304578.99999999994
52,304579,291753.4163243153,0,0,12825.583675684666,22.983377390600296,0.0,0.0,1.016622609399704,304578.99999999994
53,304579,291461.662907991,0,0,13117.33709200898,22.958054585537628,0.0,0.0,1.0419454144623723,304578.99999999994
54,304579,291170.20124508295,0,0,13408.798754916972,22.923008652669793,0.0,0.0,1.076991347330205,304578.99999999994
55,304579,290879.0310438379,0,0,13699.968956162054,22.906752935892666,0.0,0.0,1.0932470641073322,304578.99999999994
56,304579,290588.15201279405,0,0,13990.847987205892,22.871948020532113,0.0,0.0,1.1280519794678854,304578.99999999994
57,304579,290297.56386078126,0,0,14281.436139218687,22.853034681460716,0.0,0.0,1.1469653185392832,304578.99999999994
58,304579,290007.2662969205,0,0,14571.733703079468,22.839699556867707,0.0,0.0,1.1603004431322925,304578.99999999994
59,304579,289717.25903062354,0,0,14861.74096937639,22.82469932579191,0.0,0.0,1.1753006742080894,304578.99999999994
60,304579,289427.5417715929,0,0,15151.458228407013,22.797309467149447,0.0,0.0,1.202690532850553,304578.99999999994
61,304579,289138.11422982137,0,0,15440.885770178606,22.772131301979055,0.0,0.0,1.2278686980209454,304579.0
62,304579,288848.97611559153,0,0,15730.023884408427,22.75278970371089,0.0,0.0,1.2472102962891096,304578.99999999994
63,304579,288560.12713947595,0,0,16018.872860524018,22.72452224425514,0.0,0.0,1.275477755744859,304579.0
64,304579,288271.56701233645,0,0,16307.432987663493,22.713266409519253,0.0,0.0,1.2867335904807475,304578.99999999994
65,304579,287983.2954453241,0,0,16595.70455467583,22.687105275535558,0.0,0.0,1.3128947244644433,304578.99999999994
66,304579,287695.31214987877,0,0,16883.687850121154,22.65933162135859,0.0,0.0,1.340668378641412,304578.99999999994
67,304579,287407.61683772894,0,0,17171.38316227103,22.645949529242465,0.0,0.0,1.3540504707575336,304579.0
68,304579,287120.2092208912,0,0,17458.790779108764,22.621369573139425,0.0,0.0,1.3786304268605747,304578.99999999994
69,304579,286833.08901167026,0,0,17745.910988329655,22.597606633243657,0.0,0.0,1.4023933667563444,304578.99999999994
70,304579,286546.2559226586,0,0,18032.744077341322,22.57794101388098,0.0,0.0,1.4220589861190187,304578.99999999994
71,304579,286259.70966673596,0,0,18319.290333263983,22.55068679255935,0.0,0.0,1.4493132074406518,304578.99999999994
72,304579,285973.44995706924,0,0,18605.550042930718,22.526337682165355,0.0,0.0,1.4736623178346464,304578.99999999994
73,304579,285687.47650711215,0,0,18891.523492887787,22.49201107169074,0.0,0.0,1.5079889283092611,304578.99999999994
74,304579,285401.78903060505,0,0,19177.2109693949,22.46807734459826,0.0,0.0,1.5319226554017396,304578.99999999994
75,304579,285116.38724157447,0,0,19462.612758425505,22.440468607421156,0.0,0.0,1.5595313925788439,304579.0
76,304579,284831.2708543329,0,0,19747.72914566708,22.41550334259384,0.0,0.0,1.5844966574061612,304579.0
